,project_id,program,unit_type,affordability_start_year,affordability_expiration_year,longitude,latitude,total_units,total_affordable_units
72,3542,NHCD Program,Multifamily,2015,2055,-97.84577070886841,30.3990768259772,120,120
73,5405,Developer Incentive,Multifamily,2016,2115,-97.725032,30.263253999999996,1,1
74,3897,Developer Incentive,Multifamily,2019,2024,-97.643651,30.406351,324,324
75,3594,Developer Incentive,Multifamily,2017,2057,-97.7427748148446,30.2893207610882,17,2
76,5546,NHCD Program,Multifamily,2018,2117,-97.72018,30.274379999999997,1,1
77,5557,NHCD Program,Multifamily,2018,2117,-97.72018,30.274379999999997,1,1
78,5335,Developer Incentive,Single Family,2017,2018,-97.699481,30.295540999999997,1,1
79,3906,NHCD Program,Single Family,2015,2114,-97.730902,30.270713,1,1
80,5345,Developer Incentive,Single Family,2017,2018,-97.699974,30.299932000000002,1,1
81,5399,NHCD Program,Multifamily,2018,2117,-97.719825,30.275032,1,1
82,4410,NHCD Program,Multifamily,2017,2057,-97.697889,30.300054,132,132
83,5337,Developer Incentive,Single Family,2017,2018,-97.699037,30.294704,1,1
84,5529,Developer Incentive,Multifamily,2020,2119,-97.752302,30.254740999999996,1,1
85,5543,NHCD Program,Multifamily,2018,2117,-97.72018,30.274379999999997,1,1
86,3680,Developer Incentive,ADU,2016,2021,-97.71696522602909,30.318292917026803,1,1
87,4081,Developer Incentive,Single Family,2016,2017,-97.694035,30.29389954,1,1
88,3622,Developer Incentive,Multifamily,2017,2058,-97.7251428867645,30.260851824126394,332,51
89,4465,NHCD Program,Multifamily,2016,2115,-97.703014,30.269267,35,35
90,5548,NHCD Program,Multifamily,2018,2117,-97.72018,30.274379999999997,1,1
91,4466,NHCD Program,Single Family,2018,2117,-97.702534,30.269239000000002,1,1
92,5333,Developer Incentive,Single Family,2017,2018,-97.698656,30.295271000000003,1,1
93,4517,NHCD Program,Single Family,2016,2026,-97.83030500000001,30.192655,1,1
94,4030,Developer Incentive,Single Family,2015,2016,-97.69599915,30.29269981,1,1
95,4039,Developer Incentive,Single Family,2015,2016,-97.69699859999999,30.29220009,1,1
96,3874,Developer Incentive,Single Family,2018,2019,-97.681185,30.267709999999997,1,1
97,3914,NHCD Program,Single Family,2015,2114,-97.72995,30.270633,1,1
98,4470,NHCD Program,Single Family,2018,2117,-97.702321,30.269144,1,1
99,3932,Developer Incentive,Multifamily,2016,2057,-97.749563,30.265385,439,50
100,5331,Developer Incentive,Single Family,2017,2018,-97.698649,30.295071999999998,1,1
101,5340,Developer Incentive,Single Family,2017,2018,-97.69905200000001,30.295161,1,1
102,4162,Developer Incentive,Single Family,2016,2017,-97.69789886,30.29459953,1,1
103,3741,Private Activity Bonds,Multifamily,2016,2031,-97.633042,30.204703000000002,240,216
104,4414,Developer Incentive,Single Family,2016,2017,-97.761125,30.179759999999998,1,1
105,5547,NHCD Program,Multifamily,2018,2117,-97.72018,30.274379999999997,1,1
106,4492,NHCD Program,Single Family,2017,2027,-97.83030500000001,30.192655,1,1
107,4399,Developer Incentive,Single Family,2016,2017,-97.69650269,30.294200899999996,1,1
108,4415,Developer Incentive,Single Family,2016,2017,-97.76099599999999,30.17973,1,1
109,4067,Developer Incentive,Single Family,2016,2017,-97.69589996,30.29430008,1,1
110,5522,Developer Incentive,Single Family,2018,2019,-97.698522,30.297867,1,1
111,3630,NHCD Program,Single Family,2016,2031,-97.69826943457491,30.238166231384803,1,1
