ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SADLER MEANS YWLA,05/01/2019 12:00:00 AM,424.0,424.0,0.0,0.0,215200.05999999997
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SANCHEZ EL,05/01/2019 12:00:00 AM,286.0,286.0,0.0,0.0,200049.44999999998
2018-2019,1249,TEXAS JUVENILE JUSTICE DEPARTMENT,TRAVIS,Government Agency,RCCI,SCHAEFFER HOUSE,06/01/2019 12:00:00 AM,17.0,17.0,0.0,0.0,22614.31
2018-2019,1074,LAKE TRAVIS ISD,TRAVIS,Educational Institution,Public,SERENE HILLS ELEMENTARY SCHOOL,06/01/2019 12:00:00 AM,833.0,53.0,13.0,767.0,48988.729999999996
2018-2019,1070,MANOR ISD,TRAVIS,Educational Institution,Public,SHADOWGLEN EL,05/01/2019 12:00:00 AM,667.0,377.0,64.0,226.0,278026.15
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SIMS EL,05/01/2019 12:00:00 AM,231.0,231.0,0.0,0.0,170933.76000000004
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SMALL MS,06/01/2019 12:00:00 AM,1282.0,314.0,44.0,924.0,140408.29
2018-2019,1072,DEL VALLE ISD,TRAVIS,Educational Institution,Public,SMITH EL,06/01/2019 12:00:00 AM,488.0,387.0,40.0,60.0,325155.41000000003
2018-2019,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,SOUTHWEST KEY COMBES,06/01/2019 12:00:00 AM,59.0,59.0,0.0,0.0,107848.12
2018-2019,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,SOUTHWEST KEY PROGRAM - CASA BLANCA,06/01/2019 12:00:00 AM,48.0,48.0,0.0,0.0,100128.93000000001
2018-2019,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,SOUTHWEST KEY PROGRAM - CASITA EL PASO,06/01/2019 12:00:00 AM,88.0,88.0,0.0,0.0,187852.36999999997
2018-2019,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,SOUTHWEST KEY PROGRAM - HOUSTON-MESA UMSP,06/01/2019 12:00:00 AM,53.0,53.0,0.0,0.0,116378.0
2018-2019,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,SOUTHWEST KEY PROGRAM INC. -CASA CONROE-UMSP,06/01/2019 12:00:00 AM,186.0,186.0,0.0,0.0,384347.89999999997
2018-2019,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,SOUTHWEST KEY PROGRAM LA ESPERANZA,06/01/2019 12:00:00 AM,219.0,219.0,0.0,0.0,274022.88
2018-2019,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,SOUTHWEST KEY PROGRAMS - DOWNTOWN HOUSTON,06/01/2019 12:00:00 AM,94.0,94.0,0.0,0.0,152036.13
2018-2019,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,SOUTHWEST KEY PROGRAMS - FRANKLIN EL PASO,06/01/2019 12:00:00 AM,56.0,56.0,0.0,0.0,112666.77
2018-2019,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,SPRINGHILL EL,05/01/2019 12:00:00 AM,598.0,414.0,40.0,144.0,300095.94000000006
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ST ELMO EL,05/01/2019 12:00:00 AM,306.0,240.0,27.0,40.0,212283.12000000002
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SUMMITT EL,05/01/2019 12:00:00 AM,836.0,260.0,44.0,532.0,159005.44
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SUNSET VALLEY EL,05/01/2019 12:00:00 AM,573.0,296.0,20.0,257.0,220908.71999999997
2018-2019,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,SW KEY SHELTER CARE PROGRAM,06/01/2019 12:00:00 AM,88.0,88.0,0.0,0.0,186802.87
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,T A BROWN EL,05/01/2019 12:00:00 AM,249.0,249.0,0.0,0.0,68003.43
2018-2019,1249,TEXAS JUVENILE JUSTICE DEPARTMENT,TRAVIS,Government Agency,RCCI,TAMAYO HOUSE,06/01/2019 12:00:00 AM,28.0,28.0,0.0,0.0,31811.120000000003
2018-2019,1059,TEXAS EMPOWERMENT ACADEMY,TRAVIS,Educational Institution,Charter,TEXAS EMPOWERMENT ACADEMY SCH,05/01/2019 12:00:00 AM,239.0,182.0,0.0,56.0,154144.62999999998
2018-2019,1059,TEXAS EMPOWERMENT ACADEMY,TRAVIS,Educational Institution,Charter,TEXAS EMPOWERMENT ACADEMY-EL,05/01/2019 12:00:00 AM,95.0,91.0,0.0,4.0,74425.39
2018-2019,1280,TEXAS SCHOOL FOR THE BLIND & VISUALLY IMPAIRED,TRAVIS,Government Agency,RCCI,TEXAS SCHOOL FOR THE BLIND & VISUALLY IMPAIRED,06/01/2019 12:00:00 AM,148.0,129.0,0.0,20.0,67872.1
2018-2019,1281,TEXAS SCHOOL FOR THE DEAF,TRAVIS,Government Agency,RCCI,TEXAS SCHOOL FOR THE DEAF,05/01/2019 12:00:00 AM,486.0,314.0,39.0,133.0,276732.74999999994
2018-2019,1067,EAST AUSTIN COLLEGE PREP ACADEMY,TRAVIS,Educational Institution,Charter,THE EAST AUSTIN COLLEGE PREP AT MLK,06/01/2019 12:00:00 AM,309.0,296.0,0.0,13.0,170159.16999999998
2018-2019,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,TIMMERMAN EL,05/01/2019 12:00:00 AM,558.0,314.0,42.0,202.0,236716.99
