ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement,Lat,Lng,Address,Zipcode
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARANOFF ELEMENTARY,06/01/2017 12:00:00 AM,1022.0,93.0,34.0,894.0,66620.98,30.153903000000003,-97.85216390000001,"12009 Buckingham Gate Rd, Austin, TX 78748, USA",78748.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARANOFF ELEMENTARY,05/01/2018 12:00:00 AM,1021.0,103.0,26.0,892.0,64129.31,30.153903000000003,-97.85216390000001,"12009 Buckingham Gate Rd, Austin, TX 78748, USA",78748.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARANOFF ELEMENTARY,05/01/2019 12:00:00 AM,998.0,112.0,24.0,862.0,70823.5,30.153903000000003,-97.85216390000001,"12009 Buckingham Gate Rd, Austin, TX 78748, USA",78748.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARRINGTON ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,638.0,578.0,26.0,34.0,408612.71,30.3605295,-97.6960642,"400 Cooper Dr, Austin, TX 78753, USA",78753.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARRINGTON ELEMENTARY AUSTIN,06/01/2017 12:00:00 AM,549.0,497.0,28.0,24.0,395714.67999999993,30.3605295,-97.6960642,"400 Cooper Dr, Austin, TX 78753, USA",78753.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARRINGTON ELEMENTARY AUSTIN,05/01/2018 12:00:00 AM,541.0,541.0,0.0,0.0,439842.53,30.3605295,-97.6960642,"400 Cooper Dr, Austin, TX 78753, USA",78753.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARRINGTON ELEMENTARY AUSTIN,05/01/2019 12:00:00 AM,683.0,683.0,0.0,0.0,563948.97,30.3605295,-97.6960642,"400 Cooper Dr, Austin, TX 78753, USA",78753.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARTON HILLS ELEMENTARY,06/01/2016 12:00:00 AM,410.0,30.0,3.0,377.0,25483.39,30.254168800000002,-97.7831737,"2108 Barton Hills Dr, Austin, TX 78704, USA",78704.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARTON HILLS ELEMENTARY,06/01/2017 12:00:00 AM,428.0,25.0,2.0,400.0,24352.92,30.254168800000002,-97.7831737,"2108 Barton Hills Dr, Austin, TX 78704, USA",78704.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARTON HILLS ELEMENTARY,05/01/2018 12:00:00 AM,456.0,30.0,11.0,415.0,31600.80000000001,30.254168800000002,-97.7831737,"2108 Barton Hills Dr, Austin, TX 78704, USA",78704.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARTON HILLS ELEMENTARY,05/01/2019 12:00:00 AM,446.0,27.0,10.0,409.0,29257.380000000005,30.254168800000002,-97.7831737,"2108 Barton Hills Dr, Austin, TX 78704, USA",78704.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BECKER ELEMENTARY,06/01/2016 12:00:00 AM,392.0,173.0,5.0,214.0,105651.82,30.2503357,-97.7596416,"906 W Milton St, Austin, TX 78704, USA",78704.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BECKER ELEMENTARY,06/01/2017 12:00:00 AM,428.0,161.0,8.0,258.0,103595.25,30.2503357,-97.7596416,"906 W Milton St, Austin, TX 78704, USA",78704.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BECKER ELEMENTARY,05/01/2018 12:00:00 AM,447.0,148.0,11.0,288.0,93189.32,30.2503357,-97.7596416,"906 W Milton St, Austin, TX 78704, USA",78704.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BECKER ELEMENTARY,05/01/2019 12:00:00 AM,448.0,138.0,9.0,301.0,86985.34,30.2503357,-97.7596416,"906 W Milton St, Austin, TX 78704, USA",78704.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BEDICHEK MIDDLE,06/01/2016 12:00:00 AM,912.0,653.0,104.0,156.0,330883.79,30.195123,-97.78717850000001,"6800 Bill Hughes Rd, Austin, TX 78745, USA",78745.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BEDICHEK MIDDLE,06/01/2017 12:00:00 AM,891.0,659.0,83.0,149.0,332642.89,30.195123,-97.78717850000001,"6800 Bill Hughes Rd, Austin, TX 78745, USA",78745.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BEDICHEK MIDDLE,06/01/2018 12:00:00 AM,780.0,562.0,89.0,130.0,295665.6,30.195123,-97.78717850000001,"6800 Bill Hughes Rd, Austin, TX 78745, USA",78745.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BEDICHEK MIDDLE,05/01/2019 12:00:00 AM,851.0,628.0,81.0,142.0,294135.34,30.195123,-97.78717850000001,"6800 Bill Hughes Rd, Austin, TX 78745, USA",78745.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLACKSHEAR ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,301.0,228.0,20.0,54.0,154819.93,30.266967200000003,-97.7221685,"1712 E 11th St, Austin, TX 78702, USA",78702.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLACKSHEAR ELEMENTARY AUSTIN,06/01/2017 12:00:00 AM,381.0,261.0,18.0,102.0,172521.19,30.266967200000003,-97.7221685,"1712 E 11th St, Austin, TX 78702, USA",78702.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLACKSHEAR ELEMENTARY AUSTIN,05/01/2018 12:00:00 AM,380.0,233.0,24.0,123.0,181870.32,30.266967200000003,-97.7221685,"1712 E 11th St, Austin, TX 78702, USA",78702.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLACKSHEAR ELEMENTARY AUSTIN,05/01/2019 12:00:00 AM,422.0,244.0,21.0,157.0,194088.58,30.266967200000003,-97.7221685,"1712 E 11th St, Austin, TX 78702, USA",78702.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLANTON ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,491.0,381.0,22.0,88.0,249804.77,30.3069305,-97.6906309,"5408 Westminster Dr, Austin, TX 78723, USA",78723.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLANTON ELEMENTARY AUSTIN,06/01/2017 12:00:00 AM,494.0,358.0,28.0,108.0,230292.07,30.3069305,-97.6906309,"5408 Westminster Dr, Austin, TX 78723, USA",78723.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLANTON ELEMENTARY AUSTIN,06/01/2018 12:00:00 AM,467.0,301.0,21.0,146.0,206725.66,30.3069305,-97.6906309,"5408 Westminster Dr, Austin, TX 78723, USA",78723.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLANTON ELEMENTARY AUSTIN,05/01/2019 12:00:00 AM,500.0,303.0,24.0,173.0,245454.08,30.3069305,-97.6906309,"5408 Westminster Dr, Austin, TX 78723, USA",78723.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLAZIER ELEMENTARY SCHOOL,06/01/2016 12:00:00 AM,860.0,539.0,108.0,213.0,384523.57,30.1561657,-97.7514525,"8601 Vertex Blvd, Austin, TX 78744, USA",78744.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLAZIER ELEMENTARY SCHOOL,06/01/2017 12:00:00 AM,829.0,502.0,96.0,232.0,354001.17,30.1561657,-97.7514525,"8601 Vertex Blvd, Austin, TX 78744, USA",78744.0
