SiteName,ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement
HOUSTON EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HOUSTON EL,06/01/2016 12:00:00 AM,717.0,628.0,52.0,37.0,400582.85
INTERNATIONAL HIGH SCHOOL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,INTERNATIONAL HIGH SCHOOL,06/01/2016 12:00:00 AM,316.0,284.0,20.0,12.0,163446.67999999996
JORDAN EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,JORDAN EL,06/01/2016 12:00:00 AM,681.0,618.0,36.0,27.0,401729.48999999993
JOSLIN EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,JOSLIN EL,06/01/2016 12:00:00 AM,273.0,187.0,22.0,64.0,140329.48
KEALING M S,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,KEALING M S,06/01/2016 12:00:00 AM,1201.0,333.0,37.0,831.0,178703.38999999998
KIKER EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,KIKER EL,06/01/2016 12:00:00 AM,1003.0,47.0,4.0,953.0,36760.15000000001
KOCUREK EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,KOCUREK EL,06/01/2016 12:00:00 AM,498.0,286.0,45.0,166.0,182517.6
LAMAR MIDDLE,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LAMAR MIDDLE,06/01/2016 12:00:00 AM,969.0,249.0,51.0,670.0,118198.69
LANGFORD EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LANGFORD EL,06/01/2016 12:00:00 AM,693.0,623.0,36.0,34.0,457776.29
LANIER H S,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LANIER H S,06/01/2016 12:00:00 AM,1624.0,1359.0,96.0,169.0,530868.23
LASA HIGH SCHOOL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LASA HIGH SCHOOL,06/01/2016 12:00:00 AM,1016.0,65.0,29.0,922.0,37311.939999999995
LBJ HIGH SCHOOL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LBJ HIGH SCHOOL,06/01/2016 12:00:00 AM,845.0,635.0,51.0,158.0,270264.05
LEE EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LEE EL,06/01/2016 12:00:00 AM,377.0,47.0,11.0,319.0,34828.490000000005
LINDER EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LINDER EL,06/01/2016 12:00:00 AM,366.0,309.0,27.0,31.0,217086.02000000002
MAPLEWOOD EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MAPLEWOOD EL,06/01/2016 12:00:00 AM,457.0,178.0,23.0,256.0,122263.81999999999
MARTIN J H,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MARTIN J H,06/01/2016 12:00:00 AM,472.0,417.0,26.0,30.0,259792.12
MATHEWS EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MATHEWS EL,06/01/2016 12:00:00 AM,426.0,145.0,21.0,260.0,90641.58
MCBEE ELEMENTARY,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MCBEE ELEMENTARY,06/01/2016 12:00:00 AM,489.0,438.0,28.0,23.0,317835.97
MCCALLUM H S,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MCCALLUM H S,06/01/2016 12:00:00 AM,1722.0,446.0,79.0,1196.0,139459.13999999998
MENCHACA EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MENCHACA EL,06/01/2016 12:00:00 AM,736.0,320.0,46.0,371.0,198248.96000000002
MENDEZ MIDDLE,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MENDEZ MIDDLE,06/01/2016 12:00:00 AM,801.0,702.0,55.0,45.0,434277.19
METZ EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,METZ EL,06/01/2016 12:00:00 AM,323.0,260.0,20.0,43.0,177691.36
MILLS ELEMENTARY,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MILLS ELEMENTARY,06/01/2016 12:00:00 AM,823.0,62.0,16.0,745.0,39491.93
MURCHISON MIDDLE,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MURCHISON MIDDLE,06/01/2016 12:00:00 AM,1365.0,307.0,60.0,998.0,153771.41999999995
NORMAN EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,NORMAN EL,06/01/2016 12:00:00 AM,322.0,290.0,21.0,11.0,208060.48
O HENRY MIDDLE,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,O HENRY MIDDLE,06/01/2016 12:00:00 AM,931.0,190.0,43.0,698.0,95949.29000000001
OAK HILL EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,OAK HILL EL,06/01/2016 12:00:00 AM,846.0,313.0,35.0,498.0,212012.90000000002
OAK SPRINGS EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,OAK SPRINGS EL,06/01/2016 12:00:00 AM,329.0,312.0,5.0,12.0,229194.56000000003
ODOM EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ODOM EL,06/01/2016 12:00:00 AM,546.0,461.0,39.0,47.0,320965.38
ORTEGA EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ORTEGA EL,06/01/2016 12:00:00 AM,308.0,245.0,34.0,29.0,175993.1
OVERTON ELEMENTARY,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,OVERTON ELEMENTARY,06/01/2016 12:00:00 AM,705.0,636.0,31.0,38.0,404616.0700000001
PADRON EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PADRON EL,06/01/2016 12:00:00 AM,767.0,725.0,24.0,19.0,491643.63
PALM EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PALM EL,06/01/2016 12:00:00 AM,483.0,350.0,52.0,81.0,255932.66
PAREDES MIDDLE SCHOOL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PAREDES MIDDLE SCHOOL,06/01/2016 12:00:00 AM,1008.0,603.0,135.0,270.0,351456.08
PATTON EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PATTON EL,06/01/2016 12:00:00 AM,968.0,206.0,42.0,720.0,110041.49999999999
