ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CAMPBELL ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,217.0,190.0,12.0,15.0,139836.03999999998
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASEY ELEMENTARY,06/01/2016 12:00:00 AM,615.0,338.0,63.0,215.0,249767.20000000004
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASIS ELEMENTARY,06/01/2016 12:00:00 AM,799.0,19.0,5.0,774.0,14478.26
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CLAYTON ELEMENTARY,06/01/2016 12:00:00 AM,877.0,13.0,2.0,862.0,24706.95
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COOK ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,552.0,507.0,28.0,18.0,334320.95
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COVINGTON MIDDLE,06/01/2016 12:00:00 AM,645.0,350.0,61.0,234.0,219698.1
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COWAN ELEMENTARY,06/01/2016 12:00:00 AM,801.0,208.0,53.0,540.0,125747.77
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CROCKETT H S,06/01/2016 12:00:00 AM,1446.0,770.0,157.0,519.0,284225.43
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CUNNINGHAM ELEMENTARY,06/01/2016 12:00:00 AM,414.0,239.0,31.0,144.0,158626.47000000006
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DAVIS ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,798.0,200.0,40.0,558.0,113706.22000000002
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DAWSON ELEMENTARY,06/01/2016 12:00:00 AM,374.0,287.0,25.0,62.0,197357.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DILL SPECIAL PROG,06/01/2016 12:00:00 AM,14.0,11.0,1.0,2.0,7545.45
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOBIE MIDDLE,06/01/2016 12:00:00 AM,666.0,585.0,35.0,47.0,351972.8300000001
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOBIE PK CENTER,06/01/2016 12:00:00 AM,263.0,263.0,0.0,0.0,176856.38999999996
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOSS ELEMENTARY,06/01/2016 12:00:00 AM,885.0,126.0,25.0,735.0,90084.73
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,EASTSIDE MEMORIAL AT THE JOHNSTON CAMPUS,06/01/2016 12:00:00 AM,549.0,449.0,40.0,61.0,194483.86
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,FULMORE MIDDLE,06/01/2016 12:00:00 AM,1010.0,641.0,65.0,304.0,343358.82
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GALINDO ELEMENTARY,06/01/2016 12:00:00 AM,590.0,521.0,28.0,40.0,350016.4499999999
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GARZA INDEPENDENCE H S,06/01/2016 12:00:00 AM,186.0,52.0,9.0,126.0,13014.22
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GORZYCKI MIDDLE SCHOOL,06/01/2016 12:00:00 AM,1348.0,54.0,19.0,1275.0,39341.42
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GOVALLE ELEMENTARY,06/01/2016 12:00:00 AM,503.0,431.0,29.0,43.0,294707.5000000001
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GRAHAM ELEMENTARY,06/01/2016 12:00:00 AM,710.0,549.0,71.0,90.0,361419.83
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GUERRERO THOMPSON,06/01/2016 12:00:00 AM,690.0,643.0,21.0,26.0,433269.16
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GULLETT ELEMENTARY,06/01/2016 12:00:00 AM,575.0,33.0,8.0,534.0,22337.24
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HARRIS ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,633.0,588.0,22.0,23.0,389728.79
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HART ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,707.0,651.0,33.0,24.0,437697.8
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HIGHLAND PARK ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,699.0,143.0,45.0,511.0,228640.15
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HILL ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,975.0,85.0,17.0,873.0,53846.88
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HOUSTON ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,717.0,628.0,52.0,37.0,400582.85
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,INTERNATIONAL HIGH SCHOOL,06/01/2016 12:00:00 AM,316.0,284.0,20.0,12.0,163446.67999999993
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,JORDAN ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,681.0,618.0,36.0,27.0,401729.48999999993
