Campus_Name,Lat,Lng,Address,Zipcode
OAK HILL EL,30.2379909,-97.8587606,"6101 Patton Ranch Rd, Austin, TX 78735, USA",78735
OAK SPRINGS EL,30.2719146,-97.7045468,"3601 Webberville Rd, Austin, TX 78702, USA",78702
ODOM EL,30.2058822,-97.7893442,"1010 Turtle Creek Blvd, Austin, TX 78745, USA",78745
ORTEGA EL,30.2699717,-97.6842751,"1135 Garland Ave, Austin, TX 78721, USA",78721
OVERTON EL,30.3005948,-97.6357462,"7201 Colony Loop Dr, Austin, TX 78724, USA",78724
PADRON EL,30.3737197,-97.7196559,"2011 W Rundberg Ln, Austin, TX 78758, USA",78758
PALM EL,30.1648241,-97.7436728,"7601 Dixie Dr, Austin, TX 78744, USA",78744
PAREDES M S,30.1671271,-97.8112954,"10100 S Mary Moore Searight Dr, Austin, TX 78748, USA",78748
PATTON EL,30.2317972,-97.845514,"6001 Westcreek Dr, Austin, TX 78749, USA",78749
PEASE EL,30.2752911,-97.7480349,"1106 Rio Grande St, Austin, TX 78701, USA",78701
PECAN SPRINGS EL,30.3030711,-97.6761758,"3100 Rogge Ln, Austin, TX 78723, USA",78723
PEREZ EL,30.170521,-97.7561855,"7500 S Pleasant Valley Rd, Austin, TX 78744, USA",78744
PICKLE EL,30.3334079,-97.6938273,"1101 Wheatley Ave, Austin, TX 78752, USA",78752
PILLOW EL,30.3693647,-97.7336028,"3025 Crosscreek Dr, Austin, TX 78757, USA",78757
PLEASANT HILL EL,30.1968898,-97.7760696,"6405 Circle S Rd, Austin, TX 78745, USA",78745
PREMIER H S AT LANIER,30.226571,-97.783437,"1701 W Ben White Blvd Ste. 100A, Austin, TX 78704, USA",78704
PREMIER H S AT TRAVIS,30.226571,-97.783437,"1701 W Ben White Blvd Ste. 100A, Austin, TX 78704, USA",78704
READ PRE-K DEMONSTRATION SCH,30.3526521,-97.7368764,"2608 Richcreek Rd, Austin, TX 78757, USA",78757
REAGAN H S,30.3224789,-97.6898391,"7104 Berkman Dr, Austin, TX 78752, USA",78752
REILLY EL,30.3284124,-97.7198896,"405 Denson Dr, Austin, TX 78752, USA",78752
RIDGETOP EL,30.3118944,-97.716536,"5005 Caswell Ave, Austin, TX 78751, USA",78751
RODRIGUEZ EL,30.2006584,-97.7472497,"4400 Franklin Park Dr, Austin, TX 78744, USA",78744
ROSEDALE,30.319799,-97.7403454,"2117 W 49th St, Austin, TX 78756, USA",78756
SADLER MEANS YWLA,30.3134991,-97.6805013,"6401 N Hampton Dr, Austin, TX 78723, USA",78723
SANCHEZ EL,30.2542842,-97.7217272,"84 Robert T Martinez Jr St, Austin, TX 78702, USA",78702
SCHOOL FOR YOUNG MEN,30.23624,-97.7884298,"2206 Prather Ln, Austin, TX 78704, USA",78704
SIMS EL,30.2794494,-97.6865081,"1203 Springdale Rd, Austin, TX 78721, USA",78721
SMALL M S,30.2340261,-97.8416426,"4801 Monterey Oaks Blvd, Austin, TX 78749, USA",78749
ST ELMO EL,30.2219257,-97.773508,"600 W St Elmo Rd, Austin, TX 78745, USA",78745
SUMMITT EL,30.4185353,-97.7192044,"12207 Brigadoon Ln, Austin, TX 78727, USA",78727
SUNSET VALLEY EL,30.2278785,-97.8066874,"3000 Jones Rd, Austin, TX 78745, USA",78745
TRAVIS H S,30.2341564,-97.7433193,"1301-1399 E Oltorf St, Austin, TX 78704, USA",78704
TRAVIS HTS EL,30.2415592,-97.7459425,"2010 Alameda Dr, Austin, TX 78704, USA",78704
UPHAUS EARLY CHILDHOOD CENTER,30.2018129,-97.7557408,"5200 Freidrich Ln, Austin, TX 78744, USA",78744
WALNUT CREEK EL,30.3798465,-97.6840821,"401 W Braker Ln, Austin, TX 78753, USA",78753
WEBB M S,30.3332555,-97.7070039,"601 E St Johns Ave, Austin, TX 78752, USA",78752
WEBB PRI CENTER,30.3448541,-97.7098053,"7801 Guadalupe St, Austin, TX 78752, USA",78752
WIDEN EL,30.1886264,-97.7401592,"5605 Nuckols Crossing Rd, Austin, TX 78744, USA",78744
WILLIAMS EL,30.180959,-97.791461,"500 Mairo St, Austin, TX 78748, USA",78748
WINN EL,30.3138542,-97.665306,"3500 Susquehanna Ln, Austin, TX 78723, USA",78723
WOOLDRIDGE EL,30.3648933,-97.709931,"1412 Norseman Terrace, Austin, TX 78758, USA",78758
WOOTEN EL,30.3529421,-97.7191571,"1406 Dale Dr, Austin, TX 78757, USA",78757
ZAVALA EL,30.2582433,-97.7198811,"310 Robert T Martinez Jr St, Austin, TX 78702, USA",78702
ZILKER EL,30.2525438,-97.7745674,"1900 Bluebonnet Ln, Austin, TX 78704, USA",78704
