Campus_Name,Campus_Number,Lat,Lng,Address,Zipcode
PATTON EL,227901143.0,30.231797200000003,-97.845514,"6001 Westcreek Dr, Austin, TX 78749, USA",78749
PEASE EL,227901128.0,30.2752911,-97.74803490000001,"1106 Rio Grande St, Austin, TX 78701, USA",78701
PECAN SPRINGS EL,227901129.0,30.3030711,-97.6761758,"3100 Rogge Ln, Austin, TX 78723, USA",78723
PEREZ EL,227901190.0,30.170521,-97.7561855,"7500 S Pleasant Valley Rd, Austin, TX 78744, USA",78744
PICKLE EL,227901164.0,30.333407899999997,-97.6938273,"1101 Wheatley Ave, Austin, TX 78752, USA",78752
PILLOW EL,227901151.0,30.3693647,-97.7336028,"3025 Crosscreek Dr, Austin, TX 78757, USA",78757
PLEASANT HILL EL,227901130.0,30.196889799999997,-97.7760696,"6405 Circle S Rd, Austin, TX 78745, USA",78745
PREMIER H S AT LANIER,227901026.0,30.226571000000003,-97.783437,"1701 W Ben White Blvd Ste. 100A, Austin, TX 78704, USA",78704
PREMIER H S AT TRAVIS,227901025.0,30.226571000000003,-97.783437,"1701 W Ben White Blvd Ste. 100A, Austin, TX 78704, USA",78704
READ PRE-K DEMONSTRATION SCH,227901131.0,30.3526521,-97.73687640000001,"2608 Richcreek Rd, Austin, TX 78757, USA",78757
REAGAN H S,227901006.0,30.3224789,-97.6898391,"7104 Berkman Dr, Austin, TX 78752, USA",78752
REILLY EL,227901132.0,30.3284124,-97.7198896,"405 Denson Dr, Austin, TX 78752, USA",78752
RIDGETOP EL,227901133.0,30.311894399999996,-97.716536,"5005 Caswell Ave, Austin, TX 78751, USA",78751
RODRIGUEZ EL,227901174.0,30.2006584,-97.7472497,"4400 Franklin Park Dr, Austin, TX 78744, USA",78744
ROSEDALE,227901251.0,30.319799,-97.74034540000001,"2117 W 49th St, Austin, TX 78756, USA",78756
SADLER MEANS YWLA,227901065.0,30.313499100000005,-97.68050129999999,"6401 N Hampton Dr, Austin, TX 78723, USA",78723
SANCHEZ EL,227901127.0,30.2542842,-97.7217272,"84 Robert T Martinez Jr St, Austin, TX 78702, USA",78702
SCHOOL FOR YOUNG MEN,227901064.0,30.236240000000002,-97.78842979999999,"2206 Prather Ln, Austin, TX 78704, USA",78704
SIMS EL,227901139.0,30.2794494,-97.68650809999998,"1203 Springdale Rd, Austin, TX 78721, USA",78721
SMALL M S,227901060.0,30.2340261,-97.8416426,"4801 Monterey Oaks Blvd, Austin, TX 78749, USA",78749
ST ELMO EL,227901136.0,30.2219257,-97.77350799999999,"600 W St Elmo Rd, Austin, TX 78745, USA",78745
SUMMITT EL,227901138.0,30.418535300000002,-97.71920440000001,"12207 Brigadoon Ln, Austin, TX 78727, USA",78727
SUNSET VALLEY EL,227901158.0,30.2278785,-97.8066874,"3000 Jones Rd, Austin, TX 78745, USA",78745
TRAVIS H S,227901007.0,30.2341564,-97.7433193,"1301-1399 E Oltorf St, Austin, TX 78704, USA",78704
TRAVIS HTS EL,227901140.0,30.2415592,-97.7459425,"2010 Alameda Dr, Austin, TX 78704, USA",78704
UPHAUS EARLY CHILDHOOD CENTER,227901177.0,30.201812899999997,-97.7557408,"5200 Freidrich Ln, Austin, TX 78744, USA",78744
WALNUT CREEK EL,227901141.0,30.379846500000003,-97.6840821,"401 W Braker Ln, Austin, TX 78753, USA",78753
WEBB M S,227901053.0,30.3332555,-97.7070039,"601 E St Johns Ave, Austin, TX 78752, USA",78752
WEBB PRI CENTER,227901193.0,30.344854100000003,-97.7098053,"7801 Guadalupe St, Austin, TX 78752, USA",78752
WIDEN EL,227901175.0,30.188626399999997,-97.74015920000001,"5605 Nuckols Crossing Rd, Austin, TX 78744, USA",78744
WILLIAMS EL,227901166.0,30.180959,-97.791461,"500 Mairo St, Austin, TX 78748, USA",78748
WINN EL,227901157.0,30.3138542,-97.665306,"3500 Susquehanna Ln, Austin, TX 78723, USA",78723
WOOLDRIDGE EL,227901152.0,30.364893300000002,-97.70993100000001,"1412 Norseman Terrace, Austin, TX 78758, USA",78758
WOOTEN EL,227901144.0,30.352942100000003,-97.7191571,"1406 Dale Dr, Austin, TX 78757, USA",78757
ZAVALA EL,227901145.0,30.2582433,-97.7198811,"310 Robert T Martinez Jr St, Austin, TX 78702, USA",78702
ZILKER EL,227901146.0,30.2525438,-97.77456740000001,"1900 Bluebonnet Ln, Austin, TX 78704, USA",78704
