CAMPUS,CD200A001S18R,CD200AM01S18R,CD200AR01S18R,CD300A001S18R,CD300AM01S18R,CD300AR01S18R,CD400A001S18R,CD400AM01S18R,CD400AR01S18R,CDA00A001S18R,CDA00AM01S18R,CDA00AR01S18R,CDB00A001S18R,CDB00AM01S18R,CDB00AR01S18R,CDE00A001S18R,CDE00AM01S18R,CDE00AR01S18R,CDF00A001S18R,CDF00AM01S18R,CDF00AR01S18R,CDH00A001S18R,CDH00AM01S18R,CDH00AR01S18R,CDI00A001S18R,CDI00AM01S18R,CDI00AR01S18R,CDL00A001S18R,CDL00AM01S18R,CDL00AR01S18R,CDM00A001S18R,CDM00AM01S18R,CDM00AR01S18R,CDR00A001S18R,CDR00AM01S18R,CDR00AR01S18R,CDS00A001S18R,CDS00AM01S18R,CDS00AR01S18R,CDW00A001S18R,CDW00AM01S18R,CDW00AR01S18R
'227901043,91,95,91,74,78,65,.,.,.,68,73,70,41,-1,-1,55,61,56,73,75,75,61,67,62,-1,-1,-1,39,52,37,65,71,65,41,49,43,34,38,33,95,95,96
'227901044,94,98,95,100,99,100,.,.,.,88,91,89,63,69,65,66,74,69,88,90,90,76,83,78,.,.,.,56,69,57,88,92,88,47,58,51,28,36,28,98,98,98
'227901045,88,91,95,90,93,93,-1,-1,-1,85,87,87,59,-1,62,60,66,64,86,86,90,74,78,77,-1,-1,-1,39,-1,-1,83,88,84,59,64,64,33,-1,37,93,94,94
'227901046,-1,-1,-1,83,-1,-1,.,.,.,56,59,59,55,55,58,55,59,58,57,58,62,55,59,58,-1,-1,-1,45,51,48,55,60,56,48,52,51,27,32,26,63,-1,-1
'227901047,84,-1,83,93,95,95,-1,-1,-1,82,83,85,76,72,75,63,65,68,84,83,88,67,68,73,-1,-1,-1,47,-1,54,80,82,83,58,59,62,42,44,-1,94,94,95
'227901051,-1,-1,-1,81,-1,-1,.,.,.,54,57,52,39,-1,-1,54,57,52,57,56,58,56,59,54,.,.,.,51,54,48,51,58,47,47,50,44,31,40,29,-1,-1,-1
'227901052,91,90,94,94,94,93,-1,-1,-1,84,84,86,64,61,60,63,63,68,85,85,87,72,71,75,-1,-1,-1,47,52,-1,83,83,85,55,55,60,44,-1,45,91,91,93
'227901053,-1,-1,-1,-1,-1,-1,.,.,.,56,61,56,54,-1,-1,55,60,56,60,63,63,56,62,57,-1,-1,-1,42,50,42,53,59,52,47,53,47,29,-1,-1,50,-1,-1
'227901054,75,-1,-1,89,-1,-1,.,.,.,67,73,66,66,74,73,64,71,63,70,74,68,65,72,64,.,.,.,50,62,45,64,72,63,54,62,52,47,58,44,76,80,76
'227901055,-1,-1,-1,-1,-1,-1,.,.,.,57,60,60,63,-1,76,57,60,60,61,63,66,57,60,58,.,.,.,46,54,45,54,57,55,48,51,51,32,32,33,47,-1,-1
'227901057,76,-1,80,86,-1,92,-1,-1,-1,75,76,78,58,-1,-1,66,67,71,77,79,80,67,68,72,-1,-1,-1,50,-1,-1,72,73,77,57,59,63,44,44,50,90,92,91
'227901058,-1,-1,-1,.,.,.,.,.,.,47,53,50,45,-1,-1,46,52,49,51,57,59,48,54,50,-1,.,-1,40,50,41,44,50,42,39,46,42,38,38,45,-1,-1,-1
'227901059,93,93,93,89,97,95,-1,-1,-1,82,86,82,52,-1,51,67,74,67,84,84,87,77,81,77,-1,-1,-1,58,65,-1,80,87,79,60,66,61,46,54,48,90,92,91
'227901060,88,91,91,90,89,93,-1,-1,-1,83,86,85,61,64,66,64,71,68,84,86,86,73,80,76,-1,-1,-1,43,59,44,81,86,84,58,65,62,48,55,51,91,93,93
'227901061,86,94,75,90,91,92,.,.,.,68,74,70,62,-1,64,63,70,66,70,74,72,65,72,68,-1,-1,-1,51,62,52,66,73,68,54,62,56,42,45,43,88,89,91
'227901062,96,98,98,96,98,94,-1,-1,-1,95,95,96,83,-1,-1,76,77,79,95,94,96,93,94,94,-1,-1,.,77,85,65,95,96,97,74,78,77,70,71,75,96,96,97
'227901064,-1,-1,-1,-1,-1,-1,.,.,.,59,71,52,54,61,49,58,70,50,.,.,.,62,74,54,-1,-1,-1,54,73,44,59,71,52,52,67,44,38,-1,-1,-1,-1,-1
'227901065,-1,-1,-1,-1,-1,-1,.,.,.,53,54,60,46,-1,-1,52,52,59,53,54,60,54,56,60,.,.,.,41,-1,49,.,.,.,43,-1,50,-1,-1,-1,-1,-1,-1
'227901101,.,.,.,.,.,.,.,.,.,75,78,75,71,-1,-1,76,78,75,76,76,77,76,78,76,.,.,.,72,76,71,75,79,73,71,76,70,65,77,-1,.,.,.
'227901102,-1,-1,-1,-1,-1,-1,.,.,.,62,66,59,64,-1,-1,61,66,58,63,65,61,61,66,60,.,.,.,61,65,57,60,67,57,61,65,57,42,56,-1,-1,-1,-1
'227901103,95,100,100,100,-1,-1,.,.,.,93,94,95,-1,-1,-1,78,79,79,92,94,93,85,85,87,.,.,.,-1,-1,-1,94,95,96,75,77,81,77,-1,-1,96,98,98
'227901104,-1,-1,-1,-1,-1,-1,.,.,.,80,83,82,-1,-1,-1,58,64,59,78,77,80,73,77,74,.,.,.,-1,-1,-1,82,90,83,57,-1,-1,57,-1,-1,94,95,95
'227901105,76,-1,-1,.,.,.,.,.,.,85,91,87,82,91,88,83,88,85,83,88,88,85,91,86,.,.,.,84,92,87,87,94,86,78,84,83,59,66,-1,100,100,100
'227901106,-1,-1,-1,.,.,.,.,.,.,70,77,70,-1,-1,-1,63,71,61,69,76,70,68,76,67,.,.,.,67,73,65,71,77,71,60,68,59,-1,-1,-1,94,90,100
'227901107,100,100,100,-1,-1,-1,.,.,.,84,88,87,-1,-1,-1,52,60,-1,86,88,88,67,72,72,.,.,.,58,71,-1,83,87,86,62,76,61,51,55,50,93,95,95
'227901108,.,.,.,.,.,.,.,.,.,75,76,77,-1,-1,-1,75,76,76,73,75,75,71,72,73,.,.,.,78,81,76,77,76,78,73,74,74,77,72,-1,-1,-1,-1
'227901109,.,.,.,-1,-1,-1,.,.,.,70,77,69,93,-1,-1,70,77,69,68,76,64,68,76,68,.,.,.,70,79,67,72,78,-1,68,77,66,-1,-1,-1,-1,-1,-1
'227901110,93,94,94,83,-1,82,-1,-1,-1,93,91,96,-1,-1,-1,85,85,-1,92,88,96,90,88,95,.,.,.,-1,-1,-1,93,93,96,66,-1,-1,-1,-1,-1,94,92,98
'227901111,-1,-1,-1,.,.,.,.,.,.,65,68,65,60,61,-1,64,68,-1,-1,-1,-1,72,74,-1,.,.,.,83,88,-1,59,64,56,61,64,-1,-1,-1,-1,65,-1,-1
'227901112,100,100,100,87,-1,-1,.,.,.,94,94,96,-1,-1,-1,88,-1,-1,95,95,96,92,90,95,.,.,.,-1,-1,-1,93,92,96,67,-1,74,65,-1,67,94,94,96
'227901113,83,-1,91,-1,-1,-1,.,.,.,71,72,70,-1,-1,-1,62,65,61,74,75,73,65,70,65,.,.,.,63,70,-1,68,69,67,61,66,59,57,-1,-1,89,83,90
'227901114,-1,-1,-1,-1,-1,-1,.,.,.,70,76,70,63,-1,-1,64,71,61,69,77,70,67,73,67,.,.,.,59,-1,50,73,76,70,58,69,59,49,61,45,91,100,89
'227901115,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901116,100,-1,-1,.,.,.,.,.,.,64,73,67,-1,-1,-1,63,72,67,63,71,67,66,75,68,.,.,.,75,88,79,66,75,68,63,73,67,39,-1,-1,-1,-1,-1
'227901117,93,-1,-1,-1,-1,-1,-1,-1,-1,96,96,97,88,-1,-1,83,80,87,98,98,99,95,93,95,.,.,.,-1,-1,-1,94,94,94,95,-1,-1,71,-1,-1,97,97,98
'227901118,-1,-1,-1,-1,-1,-1,.,.,.,64,67,64,49,-1,-1,64,67,64,65,68,66,66,70,67,-1,-1,-1,63,68,62,63,66,62,61,66,61,32,-1,-1,-1,-1,-1
'227901119,100,100,100,100,100,100,.,.,.,93,93,95,-1,-1,-1,62,50,-1,95,95,97,78,77,83,.,.,.,-1,-1,-1,92,91,94,69,70,-1,60,62,73,95,95,97
'227901120,-1,-1,-1,-1,-1,-1,.,.,.,68,79,68,.,.,.,62,76,62,71,83,70,61,-1,60,.,.,.,-1,-1,-1,66,74,67,-1,-1,-1,61,67,-1,94,95,95
'227901121,76,76,82,86,-1,-1,.,.,.,90,89,93,-1,-1,-1,74,-1,85,92,88,95,92,93,94,.,.,.,75,-1,-1,88,91,90,61,64,69,47,-1,55,94,92,97
'227901122,86,-1,94,100,-1,-1,.,.,.,77,76,81,-1,-1,-1,54,55,59,80,79,82,66,64,71,.,.,.,-1,-1,-1,74,73,80,48,-1,-1,59,58,61,93,94,94
'227901123,91,-1,92,97,100,100,.,.,.,91,90,95,-1,-1,-1,80,82,88,89,86,96,81,83,90,-1,-1,-1,83,89,89,92,94,94,81,83,92,-1,-1,-1,98,96,100
'227901124,.,.,.,-1,-1,-1,.,.,.,68,76,71,-1,-1,-1,66,75,70,73,-1,80,69,77,73,.,.,.,79,89,82,63,71,-1,66,81,69,-1,-1,-1,-1,-1,-1
'227901125,-1,-1,-1,-1,-1,-1,.,.,.,56,64,-1,64,-1,-1,55,65,-1,58,-1,-1,52,-1,-1,.,.,.,-1,-1,-1,54,-1,-1,52,-1,-1,-1,-1,-1,-1,-1,-1
'227901126,-1,-1,-1,-1,-1,-1,.,.,.,86,90,82,84,93,-1,86,90,83,86,92,83,85,88,82,.,.,.,84,86,84,85,88,82,80,84,77,-1,-1,-1,100,-1,-1
'227901127,-1,-1,-1,-1,-1,-1,.,.,.,72,76,79,-1,-1,-1,72,75,78,69,72,76,71,74,80,.,.,.,69,72,75,74,79,81,69,73,76,-1,-1,-1,-1,-1,-1
'227901128,-1,-1,-1,.,.,.,.,.,.,85,87,87,72,-1,-1,65,-1,60,83,84,88,70,78,70,.,.,.,-1,-1,-1,86,90,85,-1,-1,-1,-1,-1,-1,97,97,100
'227901129,-1,-1,-1,.,.,.,.,.,.,74,79,79,67,-1,75,73,78,78,77,80,86,78,83,82,.,.,.,83,86,85,71,77,73,71,76,78,-1,-1,-1,-1,-1,-1
'227901130,-1,-1,-1,.,.,.,.,.,.,76,84,68,-1,-1,-1,75,84,67,79,85,74,77,85,70,-1,-1,-1,75,82,66,73,84,63,71,80,63,56,65,-1,100,-1,-1
'227901131,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901132,-1,-1,-1,-1,-1,-1,.,.,.,75,86,70,-1,-1,-1,72,84,65,78,91,73,74,87,67,.,.,.,70,87,60,73,82,67,69,82,61,-1,-1,-1,-1,-1,-1
'227901133,-1,-1,-1,-1,-1,-1,.,.,.,77,76,86,-1,-1,-1,56,-1,-1,82,82,91,72,72,84,.,.,.,55,-1,-1,70,67,81,57,-1,-1,-1,-1,-1,91,87,97
'227901136,-1,-1,-1,-1,-1,-1,.,.,.,81,84,77,-1,-1,-1,77,79,74,86,88,84,79,83,76,.,.,.,65,-1,-1,74,79,69,68,73,-1,-1,-1,-1,86,-1,82
'227901138,94,-1,100,85,93,78,-1,-1,-1,82,83,83,-1,-1,-1,71,72,72,81,79,85,73,70,75,.,.,.,77,81,73,82,86,82,71,77,72,62,-1,-1,86,87,91
'227901139,-1,-1,-1,.,.,.,.,.,.,78,93,70,-1,-1,-1,77,92,-1,79,93,-1,85,94,-1,.,.,.,84,-1,-1,78,92,-1,76,93,-1,-1,-1,-1,-1,-1,-1
'227901140,64,-1,-1,-1,-1,-1,-1,-1,-1,73,78,71,-1,-1,-1,64,70,62,78,80,80,68,75,65,.,.,.,72,78,66,68,75,63,61,72,58,42,58,-1,93,94,96
'227901141,-1,-1,-1,86,-1,-1,.,.,.,62,75,63,-1,-1,-1,60,73,61,66,74,72,62,76,64,.,.,.,62,77,63,58,76,54,59,74,60,40,64,-1,-1,-1,-1
'227901143,86,88,92,91,92,88,-1,-1,-1,79,81,82,-1,-1,-1,61,65,63,80,83,82,69,74,70,.,.,.,82,87,79,79,80,82,58,66,64,45,51,49,87,88,90
