CAMPUS,C200A001S15R,C200AM01S15R,C200AR01S15R,C300A001S15R,C300AM01S15R,C300AR01S15R,C400A001S15R,C400AM01S15R,C400AR01S15R,CA00A001S15R,CA00AM01S15R,CA00AR01S15R,CB00A001S15R,CB00AM01S15R,CB00AR01S15R,CE00A001S15R,CE00AM01S15R,CE00AR01S15R,CF00A001S15R,CF00AM01S15R,CF00AR01S15R,CH00A001S15R,CH00AM01S15R,CH00AR01S15R,CI00A001S15R,CI00AM01S15R,CI00AR01S15R,CL00A001S15R,CL00AM01S15R,CL00AR01S15R,CM00A001S15R,CM00AM01S15R,CM00AR01S15R,CR00A001S15R,CR00AM01S15R,CR00AR01S15R,CS00A001S15R,CS00AM01S15R,CS00AR01S15R,CW00A001S15R,CW00AM01S15R,CW00AR01S15R
'227806031,-1,.,-1,.,.,.,.,.,.,96,-1,100,-1,.,-1,.,.,.,100,-1,100,-1,.,-1,.,.,.,.,.,.,91,-1,100,-1,-1,-1,-1,.,-1,100,-1,100
'227806032,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806034,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806035,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227814001,100,.,-1,96,-1,96,.,.,.,96,100,95,92,.,88,.,.,.,95,100,95,95,100,94,-1,.,-1,.,.,.,97,100,95,85,-1,88,54,-1,-1,96,100,96
'227816001,-1,.,-1,95,.,91,.,.,.,69,.,73,71,.,72,67,.,71,77,.,82,65,.,70,-1,.,-1,52,.,59,61,.,66,60,.,67,30,.,36,91,.,93
'227816002,93,-1,91,96,100,97,.,.,.,88,88,86,90,93,88,84,89,82,88,84,88,84,81,83,.,.,.,62,77,56,89,91,84,76,79,73,77,.,64,92,95,85
'227816003,87,.,85,96,.,96,.,.,.,85,-1,87,77,.,78,77,-1,80,88,.,88,79,.,84,.,.,.,66,.,69,81,-1,86,67,.,73,47,.,58,80,-1,85
'227816004,89,-1,91,92,100,94,.,.,.,87,91,90,81,-1,83,78,87,83,91,94,94,79,-1,84,-1,.,-1,68,83,66,84,89,87,75,73,80,73,-1,83,90,100,94
'227816005,-1,.,-1,-1,.,-1,.,.,.,56,.,58,57,.,56,52,.,53,60,.,59,54,.,56,.,.,.,41,.,41,52,.,58,46,.,46,67,.,75,75,.,88
'227816101,.,.,.,100,.,100,.,.,.,74,80,77,76,67,71,72,78,74,76,78,80,72,80,75,-1,-1,-1,50,63,56,72,83,73,63,73,68,49,75,45,87,100,93
'227817101,-1,.,-1,100,.,-1,.,.,.,70,.,73,67,.,63,69,.,73,73,.,75,69,.,73,-1,.,-1,55,.,56,68,.,72,60,.,62,-1,.,-1,83,.,100
'227819101,-1,.,-1,-1,.,-1,.,.,.,86,.,85,86,.,82,79,.,76,87,.,85,84,.,83,.,.,.,68,.,72,86,.,85,78,.,77,47,.,67,94,.,91
'227820001,-1,.,-1,-1,.,-1,.,.,.,87,77,82,86,-1,86,88,80,82,89,81,83,87,77,82,.,.,.,74,79,64,86,71,80,81,74,75,70,-1,79,.,.,.
'227820041,.,.,.,.,.,.,.,.,.,78,96,80,88,-1,94,78,96,79,82,96,87,78,96,79,.,.,.,58,88,62,75,97,74,64,93,67,47,-1,55,-1,.,-1
'227820042,-1,.,-1,-1,-1,-1,.,.,.,82,92,81,95,-1,100,82,92,80,80,90,80,82,92,80,.,.,.,74,88,70,84,94,82,78,90,75,80,-1,-1,80,-1,-1
'227820043,-1,.,-1,.,.,.,.,.,.,69,.,71,86,.,100,68,.,70,73,.,76,69,.,71,.,.,.,56,.,61,65,.,66,66,.,68,-1,.,-1,-1,.,-1
'227820044,-1,.,-1,.,.,.,.,.,.,76,.,78,78,.,73,77,.,78,79,.,81,76,.,78,.,.,.,62,.,64,74,.,76,68,.,70,100,.,100,100,.,100
'227820101,-1,.,-1,.,.,.,.,.,.,68,.,67,58,.,75,67,.,66,74,.,72,67,.,66,.,.,.,60,.,58,61,.,62,64,.,63,-1,.,-1,100,.,-1
'227820102,.,.,.,.,.,.,.,.,.,66,.,66,90,.,90,64,.,64,72,.,72,65,.,65,.,.,.,55,.,55,62,.,62,60,.,60,-1,.,-1,-1,.,-1
'227820103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227820104,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227821101,39,.,50,-1,.,-1,.,.,.,75,.,83,43,.,63,59,.,68,76,.,80,68,.,79,.,.,.,33,.,-1,74,.,84,57,.,68,46,.,50,83,.,88
'227824001,.,.,.,.,.,.,.,.,.,61,.,64,63,.,65,61,.,64,65,.,66,60,.,63,.,.,.,47,.,48,55,.,61,53,.,53,-1,.,-1,-1,.,-1
'227824002,-1,.,-1,.,.,.,.,.,.,68,83,70,65,75,70,68,83,70,68,92,73,68,84,70,.,.,.,58,86,54,68,72,68,63,81,65,66,83,55,79,-1,78
'227825001,-1,.,-1,.,.,.,.,.,.,77,88,76,72,-1,78,76,87,75,76,86,75,77,89,75,-1,.,-1,77,91,72,78,90,76,67,80,65,80,-1,-1,96,100,89
'227826101,-1,.,-1,-1,.,-1,.,.,.,77,.,77,-1,.,-1,64,.,64,74,.,74,65,.,65,.,.,.,50,.,50,80,.,80,53,.,53,-1,.,-1,93,.,93
'227827001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901002,97,100,97,91,-1,85,-1,.,.,88,81,84,77,70,73,78,72,74,92,84,90,83,80,77,-1,.,-1,53,50,44,86,78,80,75,69,68,54,40,48,95,83,94
'227901004,88,-1,-1,67,-1,60,.,.,.,71,77,58,76,81,65,71,78,57,73,77,61,71,77,57,75,-1,-1,53,68,36,70,77,56,65,74,50,66,64,56,83,100,71
'227901005,86,91,78,93,-1,82,-1,.,.,86,88,78,68,63,61,74,83,62,89,85,82,81,87,70,92,-1,-1,57,95,40,84,90,75,72,83,58,56,69,43,97,100,93
'227901006,89,-1,-1,77,-1,-1,.,.,.,68,62,57,64,56,56,67,62,56,71,55,64,68,63,57,-1,.,-1,50,51,38,65,69,50,60,58,48,68,67,62,81,71,67
'227901007,88,-1,-1,46,-1,29,.,.,.,70,67,61,68,60,60,68,67,59,70,66,59,70,68,61,.,.,.,51,61,39,70,68,62,63,64,52,50,42,41,75,64,69
'227901008,86,83,75,100,.,100,-1,.,-1,77,72,69,73,60,66,75,69,66,81,75,76,75,71,65,-1,-1,-1,50,62,38,74,69,62,66,62,57,55,38,76,89,81,86
'227901009,94,100,88,92,96,84,.,.,.,92,96,85,74,79,61,83,94,72,94,96,90,86,93,77,-1,.,.,60,87,48,89,96,80,77,89,63,68,88,48,97,100,93
'227901012,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901013,95,95,91,96,90,96,-1,.,.,95,94,92,91,90,86,88,87,83,97,95,95,93,91,89,100,-1,-1,75,89,68,94,92,89,84,83,77,73,68,67,97,97,95
'227901014,80,-1,73,-1,.,.,.,.,.,70,63,66,72,64,69,69,61,65,73,64,71,68,62,64,-1,-1,-1,48,51,42,67,61,62,62,57,58,54,-1,56,89,-1,85
'227901015,.,.,.,.,.,.,.,.,.,81,-1,66,-1,.,-1,69,-1,59,79,-1,60,81,-1,75,.,.,.,-1,.,-1,83,.,71,76,-1,63,-1,-1,-1,81,.,58
'227901017,81,60,74,88,100,81,-1,.,-1,79,80,69,68,63,59,77,79,67,82,82,73,78,82,67,-1,-1,-1,61,76,50,76,79,64,69,74,57,51,47,42,91,83,87
'227901018,100,-1,100,100,.,100,-1,.,-1,100,100,100,100,.,100,100,100,100,100,100,100,100,100,100,-1,.,-1,.,.,.,100,100,100,100,.,100,100,.,-1,100,100,100
'227901019,-1,-1,-1,62,-1,-1,.,.,.,76,83,62,69,79,52,75,83,61,80,85,69,77,82,64,75,-1,-1,71,81,53,71,81,55,72,80,58,64,55,59,83,100,64
'227901025,-1,.,-1,.,.,.,.,.,.,78,71,70,-1,.,-1,79,75,73,74,63,70,77,69,70,.,.,.,73,-1,71,82,83,71,78,71,70,-1,.,-1,-1,-1,-1
'227901026,.,.,.,.,.,.,.,.,.,41,35,37,-1,-1,-1,40,-1,37,43,38,41,41,36,38,.,.,.,21,-1,-1,38,-1,-1,43,40,37,.,.,.,-1,.,-1
'227901027,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901028,100,100,100,100,100,100,-1,.,-1,97,99,98,98,100,98,96,98,97,97,99,98,96,98,96,.,.,.,79,.,72,.,.,.,88,95,90,-1,-1,-1,100,100,100
'227901029,.,.,.,-1,.,-1,.,.,.,50,44,34,-1,.,-1,52,46,36,51,-1,39,50,44,35,.,.,.,50,44,34,49,52,29,50,44,34,.,.,.,.,.,.
'227901030,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901032,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
'227901035,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
'227901036,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901043,95,100,96,81,-1,75,.,.,.,73,100,78,67,-1,70,63,100,69,78,100,82,66,100,72,100,.,-1,35,.,42,68,100,73,45,-1,52,16,.,25,96,100,96
'227901044,100,100,100,98,100,98,.,.,.,89,100,90,53,100,59,61,100,66,90,100,92,77,100,82,100,-1,-1,32,.,45,89,100,89,39,100,49,20,.,-1,99,100,99
'227901045,92,-1,96,89,-1,82,-1,.,-1,82,100,87,58,-1,71,62,100,70,83,100,90,70,100,78,-1,.,-1,30,-1,35,81,100,84,53,100,64,57,-1,69,93,100,96
'227901046,85,-1,80,58,-1,58,.,.,.,57,100,60,62,-1,67,55,100,59,60,100,64,55,100,58,.,.,.,31,-1,37,53,100,56,40,100,45,-1,.,-1,76,-1,77
'227901047,95,100,96,100,-1,100,.,.,.,87,100,90,61,-1,72,68,100,74,86,100,90,75,100,79,.,.,.,51,-1,51,87,100,89,58,-1,66,56,-1,62,97,100,99
'227901051,.,.,.,-1,.,-1,.,.,.,54,97,59,52,-1,63,54,96,58,53,100,58,55,96,58,.,.,.,37,100,33,56,93,60,43,100,47,40,.,56,73,.,100
'227901052,95,-1,95,89,100,91,.,.,.,89,100,92,70,-1,82,73,100,78,91,100,92,80,100,85,100,-1,-1,53,-1,56,87,100,91,67,-1,74,72,-1,80,95,100,96
'227901053,64,-1,-1,-1,-1,-1,-1,.,-1,58,95,59,48,-1,55,58,95,59,59,93,60,59,95,59,-1,.,-1,35,100,38,57,97,59,45,92,47,23,.,31,71,.,67
'227901054,91,-1,90,94,-1,100,.,.,.,69,100,74,63,100,67,66,100,72,71,100,77,68,100,74,86,-1,-1,48,100,56,67,100,72,53,100,61,26,-1,36,84,100,83
'227901055,-1,.,-1,72,-1,67,.,.,.,59,95,60,49,.,56,59,95,59,60,94,63,61,95,61,.,.,.,36,-1,38,58,96,56,43,91,44,26,.,33,-1,.,-1
'227901057,83,-1,88,70,-1,82,-1,.,-1,71,100,80,70,-1,70,63,100,73,71,100,80,65,100,76,.,.,.,46,.,57,71,100,80,51,-1,65,45,-1,49,83,100,88
'227901058,60,-1,-1,-1,.,-1,.,.,.,54,96,62,53,-1,53,54,95,62,56,92,65,55,95,63,.,.,.,36,.,47,52,100,59,43,86,52,68,.,78,40,.,-1
'227901059,96,-1,100,100,100,100,.,.,.,87,100,92,83,.,91,79,100,85,87,100,93,81,100,87,-1,.,-1,66,-1,73,87,100,91,65,-1,77,69,.,73,93,100,96
'227901060,91,100,94,92,-1,95,.,.,.,82,97,88,65,-1,76,66,86,78,83,98,89,74,97,83,-1,.,-1,38,.,44,81,97,88,55,100,67,38,.,60,88,97,93
'227901061,70,.,88,87,-1,91,-1,.,-1,65,100,74,62,-1,74,61,100,70,67,100,78,62,100,71,-1,.,.,33,-1,39,63,100,70,46,-1,57,33,.,53,86,-1,92
'227901062,99,100,98,97,100,98,.,.,.,98,100,98,90,.,86,95,-1,95,98,100,98,97,100,96,-1,.,-1,77,.,68,98,100,97,86,.,83,91,-1,89,98,100,98
'227901064,75,.,-1,26,.,-1,.,.,.,61,78,65,61,-1,66,60,75,64,.,.,.,62,-1,66,.,.,.,44,-1,46,61,78,65,48,-1,53,50,.,67,88,.,100
'227901065,100,.,-1,28,-1,-1,.,.,.,57,100,62,49,.,54,55,100,61,57,100,62,61,100,66,-1,.,-1,34,-1,39,.,.,.,44,-1,50,-1,.,-1,67,.,83
'227901101,.,.,.,.,.,.,.,.,.,79,.,81,83,.,88,78,.,80,81,.,85,79,.,81,.,.,.,83,.,81,77,.,77,77,.,81,-1,.,-1,-1,.,-1
'227901102,.,.,.,-1,.,-1,.,.,.,64,.,69,67,.,79,64,.,68,71,.,73,64,.,66,.,.,.,62,.,65,59,.,65,62,.,67,23,.,-1,73,.,86
'227901103,80,.,85,-1,.,-1,-1,.,-1,93,.,96,-1,.,-1,71,.,80,95,.,98,88,.,92,.,.,.,-1,.,-1,90,.,94,62,.,76,50,.,75,95,.,99
'227901104,-1,.,-1,-1,.,-1,.,.,.,75,.,78,67,.,63,60,.,60,78,.,83,68,.,73,.,.,.,64,.,69,72,.,72,60,.,65,56,.,-1,97,.,96
'227901105,.,.,.,.,.,.,.,.,.,94,.,97,100,.,100,94,.,97,95,.,100,92,.,96,.,.,.,94,.,96,93,.,92,93,.,94,100,.,-1,-1,.,-1
'227901106,.,.,.,.,.,.,.,.,.,65,.,68,67,.,64,65,.,68,73,.,78,64,.,66,.,.,.,55,.,60,57,.,57,55,.,60,-1,.,-1,91,.,100
'227901107,88,.,91,100,.,-1,.,.,.,82,.,84,80,.,75,59,.,65,87,.,89,68,.,71,.,.,.,50,.,56,77,.,77,53,.,59,57,.,53,90,.,91
'227901108,-1,.,-1,.,.,.,.,.,.,47,.,62,50,.,-1,45,.,61,41,.,55,45,.,60,.,.,.,37,.,52,52,.,67,29,.,47,-1,.,-1,-1,.,-1
'227901109,-1,.,-1,-1,.,-1,.,.,.,68,.,70,78,.,100,67,.,70,65,.,70,68,.,69,.,.,.,63,.,64,71,.,71,62,.,64,-1,.,-1,-1,.,-1
'227901110,100,.,100,100,.,100,.,.,.,95,.,97,80,.,86,75,.,82,95,.,95,88,.,91,.,.,.,-1,.,-1,96,.,98,63,.,77,86,.,100,98,.,98
'227901111,.,.,.,-1,.,-1,.,.,.,79,.,84,89,.,91,79,.,85,87,.,89,70,.,77,.,.,.,58,.,68,69,.,78,68,.,78,.,.,.,-1,.,-1
'227901112,100,.,100,100,.,100,.,.,.,98,.,100,100,.,100,73,.,100,98,.,100,94,.,100,.,.,.,-1,.,-1,99,.,99,86,.,100,93,.,100,99,.,100
'227901113,78,.,83,-1,.,-1,.,.,.,73,.,76,-1,.,-1,69,.,73,74,.,78,74,.,77,.,.,.,52,.,57,72,.,74,55,.,60,48,.,53,82,.,86
'227901114,-1,.,-1,-1,.,-1,.,.,.,77,.,86,82,.,100,75,.,85,75,.,85,75,.,84,-1,.,-1,71,.,82,80,.,87,72,.,81,60,.,-1,100,.,-1
'227901115,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901116,-1,.,-1,.,.,.,-1,.,-1,63,.,68,47,.,47,62,.,66,68,.,75,64,.,70,.,.,.,75,.,79,58,.,61,58,.,64,-1,.,-1,78,.,-1
'227901117,100,.,100,-1,.,-1,.,.,.,95,.,97,86,.,-1,90,.,92,95,.,98,93,.,96,-1,.,-1,-1,.,-1,96,.,96,79,.,90,50,.,50,96,.,97
'227901118,-1,.,-1,53,.,63,.,.,.,60,.,63,36,.,47,60,.,64,57,.,61,62,.,64,-1,.,-1,61,.,65,62,.,65,58,.,61,-1,.,-1,-1,.,-1
'227901119,100,.,100,91,.,93,.,.,.,98,.,98,75,.,-1,93,.,89,98,.,99,96,.,95,.,.,.,-1,.,-1,98,.,98,84,.,85,100,.,100,99,.,99
'227901120,100,.,-1,100,.,-1,.,.,.,84,.,84,-1,.,-1,80,.,80,85,.,88,80,.,81,.,.,.,79,.,80,83,.,81,74,.,75,-1,.,-1,94,.,95
'227901121,92,.,100,100,.,-1,.,.,.,94,.,95,89,.,83,77,.,81,94,.,95,90,.,91,.,.,.,-1,.,-1,94,.,95,75,.,80,100,.,100,96,.,96
'227901122,85,.,87,-1,.,-1,.,.,.,78,.,82,63,.,69,60,.,65,81,.,84,68,.,72,-1,.,-1,37,.,50,75,.,81,50,.,58,80,.,86,96,.,100
'227901123,100,.,100,100,.,100,.,.,.,94,.,97,100,.,100,85,.,88,95,.,98,86,.,90,-1,.,-1,94,.,92,94,.,96,79,.,86,71,.,-1,98,.,100
'227901124,-1,.,-1,78,.,-1,.,.,.,65,.,78,69,.,75,64,.,78,70,.,79,64,.,79,-1,.,-1,53,.,72,61,.,77,53,.,71,-1,.,-1,.,.,.
'227901125,-1,.,-1,-1,.,-1,.,.,.,58,.,71,49,.,65,57,.,71,57,.,74,58,.,71,.,.,.,71,.,87,58,.,68,54,.,68,46,.,67,-1,.,-1
'227901126,-1,.,-1,-1,.,-1,.,.,.,88,.,90,93,.,100,87,.,89,90,.,91,87,.,88,.,.,.,83,.,81,85,.,88,81,.,84,64,.,-1,-1,.,-1
'227901127,.,.,.,-1,.,-1,.,.,.,64,.,69,-1,.,-1,63,.,69,72,.,75,64,.,70,-1,.,-1,57,.,63,56,.,64,58,.,64,-1,.,-1,-1,.,-1
'227901128,100,.,100,.,.,.,-1,.,-1,88,.,95,77,.,90,73,.,89,90,.,97,87,.,96,.,.,.,-1,.,-1,87,.,94,70,.,85,75,.,83,91,.,97
'227901129,.,.,.,.,.,.,.,.,.,59,.,65,61,.,63,60,.,67,65,.,71,58,.,66,-1,.,-1,58,.,63,52,.,59,54,.,60,-1,.,-1,-1,.,-1
'227901130,100,.,-1,.,.,.,.,.,.,80,.,84,92,.,100,80,.,84,84,.,88,78,.,82,-1,.,-1,71,.,77,77,.,82,69,.,76,-1,.,-1,100,.,100
'227901131,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901132,-1,.,-1,-1,.,-1,.,.,.,83,.,87,-1,.,-1,82,.,85,83,.,87,81,.,85,.,.,.,76,.,80,82,.,87,74,.,80,-1,.,-1,100,.,100
'227901133,.,.,.,.,.,.,.,.,.,83,.,85,-1,.,-1,69,.,69,87,.,91,81,.,83,-1,.,-1,68,.,71,77,.,77,70,.,72,-1,.,-1,95,.,97
'227901136,-1,.,-1,-1,.,-1,.,.,.,86,.,89,-1,.,-1,84,.,87,83,.,86,85,.,87,.,.,.,79,.,83,89,.,92,74,.,77,75,.,-1,94,.,100
'227901138,97,.,95,86,.,88,.,.,.,86,.,89,86,.,92,76,.,80,88,.,92,75,.,80,.,.,.,77,.,83,85,.,86,74,.,81,70,.,69,93,.,95
'227901139,.,.,.,.,.,.,.,.,.,67,.,74,60,.,68,66,.,74,69,.,69,72,.,78,.,.,.,73,.,75,64,.,79,58,.,64,-1,.,.,-1,.,-1
'227901140,92,.,86,.,.,.,.,.,.,75,.,78,62,.,63,65,.,69,76,.,77,67,.,70,-1,.,-1,56,.,61,74,.,78,60,.,67,55,.,73,100,.,100
'227901141,-1,.,-1,56,.,-1,.,.,.,61,.,67,68,.,72,61,.,66,67,.,74,60,.,66,.,.,.,60,.,64,55,.,58,57,.,63,-1,.,-1,60,.,-1
'227901143,90,.,89,97,.,96,.,.,.,87,.,89,56,.,57,77,.,77,91,.,91,81,.,84,-1,.,-1,83,.,84,84,.,88,65,.,73,55,.,65,91,.,93
'227901144,-1,.,-1,-1,.,-1,.,.,.,71,.,77,55,.,62,71,.,77,73,.,80,72,.,77,-1,.,-1,71,.,76,70,.,75,70,.,75,67,.,75,94,.,90
'227901145,.,.,.,.,.,.,.,.,.,79,.,81,82,.,83,78,.,81,75,.,80,77,.,80,.,.,.,69,.,74,84,.,83,65,.,71,-1,.,-1,100,.,-1
'227901146,95,.,100,100,.,100,.,.,.,95,.,94,83,.,-1,85,.,84,97,.,97,90,.,90,-1,.,-1,100,.,100,91,.,91,80,.,84,89,.,91,97,.,96
'227901147,84,.,90,95,.,100,.,.,.,85,.,89,100,.,100,78,.,86,84,.,90,75,.,81,.,.,.,72,.,81,85,.,88,72,.,82,38,.,45,98,.,99
'227901148,88,.,82,100,.,100,.,.,.,89,.,89,-1,.,-1,75,.,75,91,.,92,79,.,79,-1,.,-1,70,.,69,86,.,85,77,.,75,86,.,86,97,.,98
'227901149,-1,.,-1,-1,.,-1,.,.,.,67,.,69,68,.,75,66,.,69,65,.,67,66,.,68,.,.,.,59,.,61,70,.,72,60,.,63,25,.,-1,71,.,-1
'227901150,-1,.,-1,.,.,.,.,.,.,69,.,72,64,.,69,68,.,71,69,.,72,73,.,75,-1,.,-1,60,.,62,69,.,71,65,.,68,43,.,-1,-1,.,-1
'227901151,67,.,83,77,.,75,.,.,.,71,.,75,75,.,82,66,.,70,76,.,80,69,.,70,.,.,.,61,.,66,65,.,68,59,.,65,-1,.,-1,72,.,78
'227901152,-1,.,-1,47,.,50,.,.,.,62,.,69,53,.,67,61,.,68,67,.,72,63,.,71,.,.,.,55,.,62,58,.,66,55,.,63,-1,.,-1,58,.,58
'227901154,96,.,94,96,.,97,.,.,.,96,.,98,90,.,100,85,.,92,95,.,98,93,.,95,.,.,.,89,.,92,97,.,97,89,.,95,100,.,-1,97,.,99
'227901155,98,.,100,98,.,100,.,.,.,96,.,97,94,.,89,85,.,93,96,.,96,91,.,91,.,.,.,94,.,90,96,.,98,86,.,95,88,.,91,97,.,99
'227901156,100,.,-1,-1,.,-1,.,.,.,72,.,75,78,.,-1,71,.,74,79,.,83,71,.,73,-1,.,-1,56,.,57,66,.,67,58,.,61,50,.,-1,79,.,85
'227901157,.,.,.,.,.,.,.,.,.,77,.,81,76,.,69,77,.,81,79,.,85,78,.,83,.,.,.,79,.,83,75,.,75,77,.,82,-1,.,-1,-1,.,-1
'227901158,-1,.,-1,-1,.,-1,.,.,.,74,.,76,-1,.,-1,70,.,71,77,.,80,70,.,72,.,.,.,63,.,64,71,.,73,62,.,63,71,.,-1,90,.,90
'227901159,-1,.,-1,100,.,-1,.,.,.,96,.,97,95,.,98,95,.,96,96,.,97,96,.,96,-1,.,-1,94,.,94,96,.,96,92,.,94,100,.,100,100,.,100
'227901160,70,.,-1,75,.,71,.,.,.,61,.,65,65,.,70,60,.,64,63,.,70,59,.,64,-1,.,-1,55,.,60,60,.,61,51,.,57,-1,.,-1,100,.,-1
