CAMPUS,C200A001S16R,C200AM01S16R,C200AR01S16R,C300A001S16R,C300AM01S16R,C300AR01S16R,C400A001S16R,C400AM01S16R,C400AR01S16R,CA00A001S16R,CA00AM01S16R,CA00AR01S16R,CB00A001S16R,CB00AM01S16R,CB00AR01S16R,CE00A001S16R,CE00AM01S16R,CE00AR01S16R,CF00A001S16R,CF00AM01S16R,CF00AR01S16R,CH00A001S16R,CH00AM01S16R,CH00AR01S16R,CI00A001S16R,CI00AM01S16R,CI00AR01S16R,CL00A001S16R,CL00AM01S16R,CL00AR01S16R,CM00A001S16R,CM00AM01S16R,CM00AR01S16R,CR00A001S16R,CR00AM01S16R,CR00AR01S16R,CS00A001S16R,CS00AM01S16R,CS00AR01S16R,CW00A001S16R,CW00AM01S16R,CW00AR01S16R
'227806015,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
'227806017,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.,-1,.,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.
'227806023,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806024,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806025,-1,-1,-1,.,.,.,.,.,.,30,33,32,24,-1,-1,30,33,32,38,-1,-1,38,-1,-1,.,.,.,-1,-1,-1,23,-1,-1,30,33,32,-1,-1,-1,-1,-1,.
'227806029,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806030,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806031,100,-1,-1,.,.,.,.,.,.,98,100,96,100,-1,-1,.,.,.,98,100,94,88,-1,-1,.,.,.,.,.,.,100,100,100,.,.,.,.,.,.,100,100,100
'227806032,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806034,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806035,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,-1,.,.
'227806036,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806037,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806039,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806040,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806042,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806043,.,.,.,.,.,.,.,.,.,100,-1,-1,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,-1,.,-1,100,-1,-1,-1,.,-1,100,-1,-1
'227814001,100,100,100,100,100,100,-1,.,.,96,93,99,86,75,89,-1,.,-1,97,93,100,94,87,98,-1,-1,-1,-1,-1,-1,96,94,97,87,77,91,88,75,100,97,96,99
'227816001,70,-1,-1,83,79,79,.,.,.,66,70,68,68,68,65,65,70,66,69,73,71,64,69,66,.,.,.,49,57,51,64,67,66,57,64,59,24,25,34,91,82,100
