CAMPUS,CD000A001S19R,CD000AM01S19R,CD000AR01S19R,CD200A001S19R,CD200AM01S19R,CD200AR01S19R,CD300A001S19R,CD300AM01S19R,CD300AR01S19R,CD400A001S19R,CD400AM01S19R,CD400AR01S19R,CDA00A001S19R,CDA00AM01S19R,CDA00AR01S19R,CDB00A001S19R,CDB00AM01S19R,CDB00AR01S19R,CDE00A001S19R,CDE00AM01S19R,CDE00AR01S19R,CDF00A001S19R,CDF00AM01S19R,CDF00AR01S19R,CDH00A001S19R,CDH00AM01S19R,CDH00AR01S19R,CDI00A001S19R,CDI00AM01S19R,CDI00AR01S19R,CDL00A001S19R,CDL00AM01S19R,CDL00AR01S19R,CDM00A001S19R,CDM00AM01S19R,CDM00AR01S19R,CDR00A001S19R,CDR00AM01S19R,CDR00AR01S19R,CDS00A001S19R,CDS00AM01S19R,CDS00AR01S19R,CDW00A001S19R,CDW00AM01S19R,CDW00AR01S19R,CNC00A001S19R,CNC00AM01S19R,CNC00AR01S19R,CNM00A001S19R,CNM00AM01S19R,CNM00AR01S19R,CNS00A001S19R,CNS00AM01S19R,CNS00AR01S19R
'227826101,48,74,39,92,100,100,100,-1,-1,.,.,.,77,86,78,80,89,72,59,75,56,76,85,74,62,77,60,.,.,.,47,76,38,78,86,82,49,77,39,59,67,60,94,93,98,87,91,90,66,79,63,.,.,.
'227827001,46,38,44,-1,-1,-1,-1,.,-1,.,.,.,54,36,51,45,40,36,46,21,38,55,37,51,45,0,42,-1,.,-1,46,38,44,53,33,50,50,42,53,.,.,.,63,42,64,.,.,.,54,36,51,-1,.,-1
'227827002,.,.,.,.,.,.,.,.,.,.,.,.,80,.,-1,-1,.,-1,80,.,-1,80,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,80,.,-1,.,.,.
'227827003,.,.,.,-1,.,-1,.,.,.,.,.,.,64,-1,80,-1,.,-1,64,-1,80,67,-1,-1,20,-1,-1,.,.,.,.,.,.,60,-1,-1,-1,-1,-1,.,.,.,-1,.,-1,.,.,.,64,-1,80,-1,-1,-1
'227828001,65,40,50,-1,.,.,.,.,.,.,.,.,68,64,43,71,.,-1,65,60,35,70,-1,30,65,56,40,.,.,.,65,40,50,66,43,55,59,50,38,17,-1,-1,83,-1,-1,.,.,.,68,64,43,-1,.,.
'227829001,41,64,36,79,81,81,100,-1,-1,.,.,.,83,85,88,68,57,80,72,75,76,82,82,89,72,78,74,.,.,.,41,64,36,85,88,86,63,67,73,36,38,50,89,90,94,.,.,.,83,85,88,100,-1,-1
'227901002,63,69,51,94,91,94,88,-1,85,.,.,.,88,80,84,81,76,73,72,69,62,91,83,89,79,76,71,67,-1,-1,47,52,33,85,77,80,73,69,64,52,51,39,95,85,94,88,78,85,85,84,81,93,83,92
'227901004,65,79,48,85,60,89,82,-1,75,.,.,.,71,81,56,75,87,62,71,83,56,76,86,62,70,80,55,.,.,.,57,74,39,67,77,51,67,79,50,52,54,36,75,92,54,74,82,60,63,78,45,100,-1,100
'227901005,71,73,55,95,100,91,97,.,94,.,.,.,90,91,85,74,77,62,77,83,63,93,94,89,85,90,77,-1,.,-1,58,55,39,88,88,82,75,86,62,58,58,42,95,94,94,89,89,84,93,94,90,78,80,75
'227901006,60,84,44,89,-1,-1,50,57,40,.,.,.,68,83,54,65,78,50,68,85,54,75,91,64,68,84,54,-1,.,-1,51,80,32,62,77,46,60,80,45,39,67,18,94,-1,86,69,87,54,65,74,53,80,-1,67
'227901007,56,90,37,67,-1,50,52,-1,38,.,.,.,65,88,49,64,78,43,66,88,49,71,88,58,65,88,49,-1,-1,-1,47,87,26,60,87,41,57,86,39,39,66,22,70,86,56,67,90,51,59,81,43,79,-1,60
'227901008,59,80,43,81,78,81,90,-1,88,-1,-1,-1,72,81,60,60,71,45,68,78,55,76,89,65,69,80,56,-1,.,.,49,75,32,68,75,56,59,74,44,38,48,24,88,90,83,73,81,62,67,78,55,85,-1,75
'227901009,75,87,58,90,95,84,92,94,87,-1,.,-1,89,89,83,75,68,70,78,83,66,92,91,88,85,88,77,60,-1,-1,62,78,41,86,87,79,75,79,65,56,59,43,94,93,90,90,91,84,87,84,80,86,100,63
'227901012,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901013,92,96,87,100,100,100,98,100,96,100,-1,-1,95,95,93,89,83,80,87,88,81,97,97,96,92,92,88,-1,.,-1,88,90,76,94,93,92,84,86,77,70,73,61,97,97,96,96,95,94,93,94,90,98,100,94
'227901014,55,91,35,79,80,70,50,.,33,.,.,.,61,80,43,56,73,37,61,81,43,67,82,52,63,83,45,40,-1,-1,43,89,20,55,77,36,52,79,34,36,64,14,95,-1,100,62,80,43,59,79,41,43,-1,-1
'227901015,45,-1,29,-1,.,.,.,.,.,.,.,.,82,-1,45,-1,.,.,70,-1,33,87,-1,57,74,-1,36,.,.,.,71,-1,-1,76,-1,38,71,-1,31,71,.,-1,92,.,67,87,-1,50,74,.,38,.,.,.
'227901017,69,80,54,91,82,89,88,86,80,100,-1,-1,78,82,68,72,75,62,74,79,63,83,87,75,76,81,66,80,-1,-1,60,75,42,74,77,62,68,77,55,47,55,30,87,89,82,79,83,70,74,78,63,59,50,50
'227901018,100,-1,100,100,-1,100,100,.,100,-1,.,-1,100,100,100,100,-1,100,100,-1,100,100,100,100,100,100,100,-1,.,-1,100,-1,-1,100,-1,100,100,-1,100,100,.,100,100,-1,100,100,100,100,100,100,100,-1,-1,-1
'227901019,67,94,48,-1,-1,-1,89,-1,80,.,.,.,73,93,57,66,100,39,72,92,54,75,87,62,74,91,59,.,.,.,60,92,36,72,98,52,68,91,49,53,79,19,60,-1,40,75,89,58,70,100,54,-1,.,-1
'227901025,40,-1,22,.,.,.,.,.,.,.,.,.,47,-1,34,43,.,-1,48,-1,33,45,-1,35,44,-1,30,.,.,.,40,-1,29,50,-1,33,46,-1,32,43,.,-1,-1,-1,-1,45,-1,30,50,-1,40,.,.,.
'227901026,63,-1,43,.,.,.,.,.,.,.,.,.,65,80,41,38,-1,20,64,-1,37,68,80,47,71,-1,47,.,.,.,61,-1,38,56,.,20,64,-1,38,-1,.,-1,.,.,.,60,-1,33,69,-1,46,.,.,.
'227901027,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901028,94,97,95,98,100,96,100,100,100,-1,.,.,96,98,97,87,89,97,94,97,95,96,98,97,95,98,96,-1,-1,-1,90,95,86,.,.,.,89,94,91,83,-1,60,99,99,99,96,99,97,95,95,95,100,-1,-1
'227901029,57,91,35,.,.,.,.,.,.,.,.,.,57,91,35,-1,-1,-1,56,91,33,67,83,58,56,88,39,.,.,.,57,91,35,50,100,23,57,91,35,.,.,.,67,100,17,.,.,.,57,91,35,.,.,.
'227901030,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,-1,.,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.
'227901032,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901035,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.,-1,.,-1,-1,.,-1,-1,.,-1,.,.,.,.,.,.,-1,.,-1,.,.,.
'227901036,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901043,60,70,60,88,94,88,83,85,85,.,.,.,72,78,74,45,50,48,58,66,61,79,83,82,64,71,66,-1,-1,-1,44,57,43,67,74,68,45,55,48,34,39,36,96,97,96,73,78,75,70,77,72,71,78,78
'227901044,81,87,79,96,95,96,100,100,100,.,.,.,88,90,88,59,68,62,66,74,66,88,90,89,77,83,76,-1,-1,-1,59,71,53,88,91,87,49,59,50,33,41,29,98,98,98,89,91,89,81,85,82,95,100,95
'227901045,66,73,63,90,91,91,97,100,95,100,-1,-1,88,90,88,76,75,77,68,73,66,89,90,89,77,81,76,-1,-1,-1,51,60,47,87,89,86,66,70,64,47,47,45,95,95,95,88,90,88,89,89,89,94,95,91
'227901046,53,65,49,47,60,60,58,67,33,.,.,.,54,64,51,50,53,48,54,64,51,57,64,58,54,64,51,80,-1,-1,46,60,42,52,63,46,47,58,44,29,39,25,58,74,56,57,66,55,44,56,40,54,44,67
'227901047,60,68,64,85,88,88,88,88,88,100,-1,-1,81,83,81,65,74,68,59,63,59,81,84,81,66,71,67,-1,-1,-1,53,61,56,80,83,81,57,64,56,46,49,39,93,94,93,81,84,81,80,80,81,82,80,80
'227901051,52,64,45,95,100,100,77,-1,-1,.,.,.,54,64,50,59,66,55,53,62,49,59,66,57,52,62,48,.,.,.,47,60,40,50,62,44,46,56,41,38,44,32,65,79,64,56,65,51,52,59,49,70,70,80
'227901052,76,78,77,88,88,91,94,96,92,85,100,80,84,85,85,57,61,59,62,64,64,86,87,88,72,74,76,100,-1,-1,59,63,58,82,84,83,59,63,62,43,48,43,90,91,90,85,87,87,77,80,79,87,90,80
'227901053,48,61,41,0,-1,-1,64,-1,-1,.,.,.,50,61,43,59,63,56,50,61,43,54,66,47,49,60,42,.,.,.,43,58,35,47,57,40,44,55,37,25,35,19,49,63,44,50,60,43,51,63,45,67,71,57
'227901054,68,78,64,71,62,62,89,100,67,.,.,.,67,74,65,61,64,57,65,72,62,72,79,69,67,75,65,.,.,.,57,70,51,64,70,61,56,65,52,41,49,35,71,68,68,69,76,65,60,64,62,61,70,60
'227901055,55,60,53,.,.,.,67,69,62,.,.,.,56,59,53,63,62,67,55,59,52,58,62,58,55,59,52,.,.,.,47,53,45,53,57,49,47,51,46,27,31,25,43,50,38,62,65,60,41,46,38,71,-1,-1
'227901057,58,66,53,82,89,74,71,80,60,-1,-1,-1,73,77,72,65,71,60,65,70,62,75,78,74,67,71,66,88,-1,-1,48,57,42,71,77,69,58,65,54,43,48,38,87,89,86,73,76,71,74,83,72,87,83,100
'227901058,44,41,45,64,-1,-1,.,.,.,.,.,.,43,39,45,43,28,45,41,37,43,47,41,50,43,40,45,.,.,.,40,39,40,40,38,40,38,34,40,28,27,30,42,-1,-1,46,40,48,35,38,35,38,40,20
'227901059,75,75,73,90,96,85,99,97,100,100,-1,-1,82,86,80,62,85,57,70,77,67,83,86,82,76,80,75,78,-1,-1,60,59,55,81,87,80,59,68,56,51,56,48,89,92,89,84,88,82,75,82,74,88,95,90
'227901060,67,78,68,88,89,90,96,96,96,89,-1,-1,84,87,85,67,70,70,69,74,70,86,87,89,76,81,76,.,.,.,50,66,51,83,87,83,61,67,63,51,59,48,92,92,93,85,87,86,83,85,84,87,91,91
'227901061,57,68,58,75,81,63,86,100,77,-1,-1,-1,61,68,63,51,55,57,60,67,62,64,68,67,60,67,62,60,-1,-1,49,61,49,59,69,60,47,56,50,33,36,31,80,84,80,62,70,62,59,62,67,67,73,64
'227901062,87,89,84,98,100,96,96,97,94,-1,-1,-1,95,96,94,88,89,89,81,84,80,95,96,94,93,95,92,75,-1,-1,63,70,56,95,97,94,77,83,74,74,75,71,95,97,95,95,97,95,92,94,90,100,100,100
'227901064,66,74,62,41,57,29,78,-1,-1,.,.,.,62,72,59,54,58,54,62,71,59,.,.,.,66,76,62,-1,-1,-1,61,72,56,62,72,59,56,66,52,39,50,34,55,80,50,62,70,59,64,78,59,69,83,50
'227901065,60,63,59,91,-1,-1,71,-1,-1,.,.,.,60,64,63,51,54,60,60,62,62,60,64,63,61,65,62,-1,-1,-1,55,59,54,.,.,.,53,57,55,30,37,31,80,88,88,62,64,63,57,65,60,.,.,.
'227901101,81,83,81,.,.,.,.,.,.,.,.,.,75,82,76,59,70,60,74,81,74,82,87,87,76,83,77,.,.,.,80,83,80,68,77,64,72,80,73,53,72,48,78,-1,-1,77,83,76,69,78,74,85,100,80
'227901102,55,62,56,-1,-1,-1,45,-1,-1,.,.,.,59,66,58,51,63,47,57,67,55,59,61,64,59,64,60,.,.,.,55,62,56,58,70,52,56,63,56,53,56,50,100,-1,-1,58,62,59,62,76,55,27,-1,-1
'227901103,68,88,63,85,82,82,100,-1,-1,.,.,.,91,91,93,.,.,.,70,67,76,92,93,95,82,82,86,.,.,.,56,83,50,90,89,90,68,69,73,57,55,55,95,95,96,93,94,94,78,71,86,89,-1,-1
'227901104,65,73,69,75,-1,-1,100,-1,-1,.,.,.,85,87,91,64,60,60,65,72,72,86,91,91,80,84,87,.,.,.,64,72,68,84,84,91,65,75,74,62,69,69,94,95,98,86,88,90,80,75,100,85,100,88
'227901105,83,87,94,64,70,80,-1,-1,-1,.,.,.,77,78,88,70,62,86,71,73,83,77,79,89,77,82,86,.,.,.,82,87,93,76,78,86,63,67,75,49,64,58,100,100,100,78,79,90,71,77,77,82,-1,-1
'227901106,64,75,60,67,-1,-1,.,.,.,.,.,.,72,76,72,76,69,92,62,68,62,73,79,76,64,71,63,.,.,.,64,75,60,70,73,68,58,66,57,51,58,50,95,95,95,73,78,73,69,71,71,38,-1,-1
'227901107,73,81,78,100,100,100,100,-1,-1,.,.,.,89,91,92,88,86,100,73,79,79,90,89,94,76,82,78,.,.,.,70,80,76,89,92,89,68,79,70,61,75,63,96,95,98,90,92,91,85,84,95,100,100,100
'227901108,76,93,67,.,.,.,.,.,.,.,.,.,80,91,78,93,100,100,79,90,76,73,85,73,77,89,74,.,.,.,76,93,67,89,97,84,74,87,72,72,87,74,100,-1,-1,81,90,78,73,92,77,80,-1,-1
'227901109,63,73,57,.,.,.,40,-1,-1,.,.,.,64,75,57,38,-1,-1,63,74,56,68,73,61,67,77,61,.,.,.,63,73,57,60,78,53,61,73,55,47,67,33,40,-1,-1,65,77,61,60,70,45,-1,-1,-1
'227901110,75,86,71,93,91,91,100,100,100,-1,-1,-1,92,94,92,63,-1,-1,72,79,76,92,92,93,86,91,84,.,.,.,75,86,71,92,96,91,56,69,56,56,65,53,94,96,94,92,94,93,88,96,85,100,-1,-1
'227901111,86,88,88,86,100,80,.,.,.,.,.,.,67,72,69,61,62,67,67,72,68,67,70,73,67,77,64,.,.,.,84,86,86,68,74,66,58,69,59,37,50,38,100,100,100,66,73,65,70,68,77,71,80,80
'227901112,57,63,75,100,100,100,97,100,100,.,.,.,95,95,97,75,-1,-1,74,79,86,94,95,96,86,87,89,.,.,.,47,50,67,95,95,97,75,73,88,87,84,84,96,96,98,96,96,97,88,87,92,90,86,100
'227901113,64,68,57,91,88,100,53,60,40,.,.,.,69,69,71,46,50,50,63,65,63,74,71,78,64,65,64,.,.,.,57,63,50,66,67,64,50,52,55,42,44,44,85,78,89,69,66,72,71,76,68,-1,-1,-1
'227901114,69,73,60,80,-1,-1,.,.,.,.,.,.,76,78,74,87,91,82,70,74,64,83,83,83,72,75,70,.,.,.,65,69,56,68,72,62,69,75,65,59,65,54,86,85,81,79,81,77,55,61,50,83,80,80
'227901115,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901116,79,80,82,-1,-1,-1,-1,-1,-1,.,.,.,65,72,66,50,44,56,63,72,65,71,74,73,65,74,66,.,.,.,78,80,81,58,70,60,61,71,65,39,59,41,-1,-1,-1,64,72,66,69,74,68,57,80,40
'227901117,73,-1,-1,79,89,78,88,-1,-1,-1,-1,-1,92,94,93,85,78,78,68,67,62,95,96,95,88,91,91,.,.,.,63,-1,-1,90,92,90,58,63,58,66,69,65,94,95,94,93,95,93,88,89,89,71,-1,-1
'227901118,67,66,68,-1,-1,-1,-1,-1,-1,.,.,.,65,69,65,43,71,38,65,68,65,70,72,69,68,69,68,.,.,.,67,66,68,60,66,60,62,66,62,41,50,35,80,-1,-1,69,73,67,53,55,57,58,67,67
'227901119,83,71,100,90,85,95,100,100,100,-1,-1,-1,91,90,93,67,-1,-1,78,71,86,93,91,95,78,73,83,.,.,.,83,71,100,90,90,91,62,58,80,59,51,69,94,94,95,93,93,94,84,77,89,88,83,83
'227901120,60,73,59,45,-1,-1,-1,-1,-1,.,.,.,70,78,67,-1,-1,-1,65,72,63,74,81,74,64,75,61,.,.,.,60,73,59,67,76,61,57,68,57,56,64,56,89,93,86,69,76,67,77,88,69,64,60,80
'227901121,77,80,80,76,76,82,96,89,100,.,.,.,89,89,92,70,75,67,80,80,79,89,89,92,85,86,90,.,.,.,73,-1,-1,89,90,93,53,53,67,48,42,58,93,94,97,89,90,92,89,88,94,100,100,100
'227901122,61,47,80,94,93,93,100,-1,-1,.,.,.,80,80,84,48,50,53,58,54,68,85,85,89,73,69,83,.,.,.,61,47,80,76,75,81,53,52,63,54,62,55,92,92,93,81,80,87,76,78,73,100,-1,-1
'227901123,86,88,88,100,100,100,95,94,94,.,.,.,89,90,91,71,63,75,78,84,79,90,86,95,82,89,83,-1,-1,-1,84,86,86,87,93,88,74,80,76,67,74,70,94,92,98,90,92,92,85,83,89,83,-1,-1
'227901124,75,84,80,.,.,.,54,60,60,.,.,.,64,71,69,20,-1,-1,63,70,67,62,72,65,66,73,71,.,.,.,75,84,80,66,70,72,60,68,68,21,21,21,-1,-1,-1,65,71,67,61,70,75,83,-1,-1
'227901125,53,70,48,60,-1,-1,.,.,.,.,.,.,57,65,59,65,68,68,57,64,58,61,71,62,53,63,53,.,.,.,53,70,48,54,58,56,52,65,57,49,72,50,100,-1,-1,56,63,56,63,71,67,62,60,80
'227901126,85,93,83,94,100,100,-1,-1,-1,.,.,.,83,90,84,77,100,75,82,89,83,87,91,91,82,88,83,.,.,.,85,93,83,80,89,78,78,89,77,55,83,50,100,100,100,84,90,84,82,87,87,100,-1,-1
'227901127,67,71,70,.,.,.,56,-1,-1,.,.,.,70,72,71,90,-1,-1,69,72,70,71,73,76,69,71,72,.,.,.,67,71,70,69,72,67,69,72,72,23,45,18,80,-1,-1,68,69,70,78,88,76,71,-1,-1
'227901128,-1,-1,-1,100,100,100,-1,-1,-1,.,.,.,83,85,85,96,90,100,63,70,71,83,83,86,65,72,67,.,.,.,.,.,.,83,88,84,51,52,56,47,54,46,97,96,98,88,90,90,51,53,53,-1,-1,-1
'227901129,67,75,65,50,-1,-1,.,.,.,.,.,.,64,68,63,60,59,57,63,68,62,61,68,62,67,73,67,.,.,.,67,75,65,66,68,65,58,66,57,23,33,17,50,-1,-1,66,73,65,57,55,58,100,-1,-1
'227901130,68,76,71,88,-1,-1,.,.,.,.,.,.,71,79,72,56,73,40,69,78,71,75,84,75,72,79,75,.,.,.,68,76,70,66,73,70,63,73,65,44,54,46,80,-1,-1,69,76,71,76,89,77,67,-1,-1
'227901132,88,91,94,.,.,.,100,100,100,.,.,.,91,93,95,100,-1,-1,89,92,92,93,89,100,90,93,93,.,.,.,88,91,93,89,97,89,89,92,92,73,63,75,95,88,100,93,96,93,87,84,100,100,-1,-1
'227901133,48,43,50,100,100,100,-1,-1,-1,.,.,.,83,82,85,-1,-1,-1,58,55,63,89,88,94,76,72,78,.,.,.,48,43,50,76,76,77,53,46,61,27,36,27,94,95,95,82,80,85,100,100,100,67,-1,-1
'227901136,69,76,68,-1,-1,-1,-1,-1,-1,.,.,.,77,84,77,80,-1,-1,73,82,74,83,89,89,75,82,75,.,.,.,66,75,66,70,80,66,67,78,68,30,55,23,83,92,83,75,82,74,87,94,94,100,-1,-1
'227901138,75,83,77,84,88,88,81,91,82,.,.,.,81,83,85,57,56,67,62,68,67,80,79,85,75,75,80,.,.,.,74,82,75,82,87,84,69,75,75,52,55,55,89,88,91,83,86,86,74,74,80,93,83,100
'227901139,83,100,85,.,.,.,.,.,.,.,.,.,69,79,69,56,63,56,70,81,70,66,80,70,76,91,77,.,.,.,83,100,85,71,79,68,66,81,67,7,20,0,-1,-1,-1,72,89,71,59,55,64,.,.,.
'227901140,71,86,70,100,100,100,73,50,83,-1,-1,-1,73,80,72,60,71,50,63,72,62,79,86,80,65,74,63,.,.,.,71,86,70,67,73,66,60,75,57,52,73,44,95,96,98,76,84,73,63,60,70,58,50,50
'227901141,65,74,64,58,-1,-1,-1,-1,-1,.,.,.,65,72,65,52,48,65,65,72,65,65,67,68,68,76,66,-1,-1,-1,64,73,63,65,76,63,63,72,63,50,62,44,47,53,47,68,76,67,57,61,61,92,-1,-1
'227901143,76,84,73,87,81,88,81,90,77,.,.,.,80,84,81,40,44,50,66,75,65,79,84,80,70,78,70,-1,-1,-1,74,83,71,81,84,82,58,71,59,53,60,50,89,91,91,81,86,83,77,79,76,84,86,86
'227901144,81,84,80,.,.,.,.,.,.,.,.,.,81,84,82,94,100,100,81,84,81,83,82,84,81,84,81,-1,-1,-1,81,84,80,80,86,80,80,83,80,48,54,49,68,63,75,84,87,84,60,56,68,100,100,100
'227901145,72,90,64,-1,-1,-1,50,100,20,.,.,.,80,85,78,94,94,100,79,85,77,79,83,80,78,82,76,.,.,.,68,89,60,80,87,76,71,84,66,59,63,63,.,.,.,80,86,77,76,83,83,89,-1,-1
'227901146,63,69,69,97,100,100,100,-1,-1,.,.,.,91,93,95,90,-1,-1,75,77,86,89,92,93,85,87,90,.,.,.,66,75,67,92,94,96,78,84,89,82,85,86,95,97,97,91,93,95,91,95,95,79,67,83
'227901147,76,77,77,94,100,92,91,100,92,.,.,.,73,75,76,52,58,50,63,63,65,78,80,79,70,70,72,.,.,.,74,76,76,69,70,73,60,63,64,41,42,40,80,81,84,76,78,78,65,64,68,40,38,38
'227901148,58,56,70,94,96,96,94,100,100,-1,-1,-1,77,78,83,68,78,78,60,60,69,78,78,83,63,62,72,100,-1,-1,57,55,70,77,79,83,58,58,69,44,44,57,91,92,93,78,78,83,77,79,84,71,80,80
'227901149,56,71,57,50,-1,-1,60,-1,-1,.,.,.,56,67,56,50,58,42,55,67,55,54,68,56,57,70,57,.,.,.,56,71,56,57,67,56,53,67,53,46,56,44,42,43,43,57,67,56,49,68,55,67,-1,-1
'227901150,80,80,85,-1,-1,-1,.,.,.,-1,-1,-1,76,84,70,74,85,62,76,84,70,82,90,74,81,84,82,.,.,.,80,80,85,69,77,66,70,79,68,55,56,44,.,.,.,77,85,70,71,79,71,-1,-1,-1
'227901151,61,76,58,57,63,63,100,-1,-1,-1,-1,-1,69,80,69,73,78,78,64,76,64,71,80,72,65,77,63,.,.,.,61,76,57,68,80,66,60,75,58,38,50,35,83,92,79,69,80,67,71,79,71,-1,-1,-1
'227901152,59,70,54,71,67,83,.,.,.,.,.,.,61,69,58,68,71,79,60,68,56,61,71,56,60,69,57,.,.,.,57,68,51,61,68,59,61,70,57,35,42,29,56,67,33,59,70,55,66,67,65,38,50,33
'227901154,78,83,83,96,95,100,87,94,88,-1,-1,-1,92,94,95,77,78,78,77,79,84,96,96,98,87,88,94,.,.,.,76,81,82,90,93,93,75,83,82,55,59,69,94,96,96,93,94,96,91,95,92,100,100,100
'227901155,74,68,74,100,100,100,81,83,83,.,.,.,92,91,93,79,69,92,68,70,70,93,92,96,84,83,87,.,.,.,71,67,70,90,90,92,70,68,74,62,60,76,94,93,95,94,93,95,83,84,86,100,100,100
'227901156,78,83,80,.,.,.,.,.,.,.,.,.,70,73,71,38,36,45,69,72,69,73,81,71,71,75,71,.,.,.,78,82,79,67,66,71,65,71,67,31,40,27,84,79,86,68,72,69,78,79,79,77,80,60
'227901157,81,83,86,-1,-1,-1,.,.,.,.,.,.,72,76,76,45,47,53,71,75,75,81,82,85,79,85,83,100,-1,-1,81,83,86,64,71,68,72,79,77,31,38,38,-1,-1,-1,75,77,79,64,73,67,100,-1,-1
'227901158,54,58,58,75,67,83,-1,-1,-1,.,.,.,70,70,74,89,71,100,59,60,64,72,70,77,59,59,64,.,.,.,54,58,58,68,70,71,52,52,59,34,34,41,89,91,90,71,72,75,60,58,71,-1,-1,-1
'227901159,95,96,96,100,-1,-1,-1,-1,-1,.,.,.,94,95,96,95,93,97,94,94,97,94,94,98,94,94,96,.,.,.,95,96,96,94,95,95,93,93,95,76,82,79,98,100,100,95,94,96,94,96,98,100,100,100
'227901160,74,76,77,40,-1,-1,93,100,83,.,.,.,72,72,75,88,89,89,71,72,75,75,74,81,70,70,73,.,.,.,74,75,76,69,70,69,69,69,73,55,65,39,75,67,78,70,71,74,75,74,77,68,86,86
'227901161,83,92,83,75,-1,-1,.,.,.,.,.,.,79,86,80,62,64,60,79,87,81,79,85,84,80,87,80,.,.,.,83,92,83,79,86,75,79,88,80,56,61,57,90,-1,-1,81,88,81,73,78,74,75,-1,-1
'227901162,67,77,64,.,.,.,.,.,.,.,.,.,64,75,63,41,40,40,64,75,62,67,76,65,65,77,64,.,.,.,66,76,63,62,73,60,62,72,61,43,52,37,92,-1,-1,65,76,63,59,67,60,42,60,40
'227901163,81,86,81,100,-1,-1,64,73,60,.,.,.,79,84,80,73,71,75,79,84,80,78,81,81,81,87,82,.,.,.,81,86,81,79,87,79,79,85,80,60,76,62,54,50,64,83,88,84,63,69,64,77,78,78
'227901164,73,76,78,.,.,.,100,-1,-1,.,.,.,71,74,75,62,67,60,70,73,75,75,75,84,71,74,76,-1,-1,-1,73,76,78,66,73,65,70,73,76,50,64,50,89,-1,-1,70,74,75,73,76,71,-1,-1,-1
'227901165,87,90,84,.,.,.,.,.,.,.,.,.,84,85,85,52,43,57,84,86,85,83,80,84,85,88,86,.,.,.,86,90,84,84,90,85,83,85,83,64,66,66,88,-1,-1,85,87,86,79,81,81,94,100,83
'227901166,76,76,76,100,-1,-1,88,83,100,.,.,.,70,69,75,68,75,63,69,67,74,70,67,80,67,67,73,.,.,.,76,75,77,70,71,70,60,61,66,54,56,54,83,82,82,73,71,77,59,63,66,69,60,80
'227901168,65,73,73,.,.,.,.,.,.,.,.,.,65,74,68,62,71,59,64,73,67,69,72,78,65,74,69,.,.,.,65,72,72,61,75,59,61,72,64,42,46,41,70,86,71,65,73,69,64,75,64,67,-1,-1
'227901170,73,71,79,70,64,71,100,-1,-1,.,.,.,83,84,85,86,88,88,76,79,77,85,85,88,76,77,78,.,.,.,65,60,70,82,84,83,61,67,65,53,60,51,91,93,93,85,85,88,76,79,74,96,100,100
'227901171,76,82,76,38,-1,-1,100,-1,-1,.,.,.,72,83,75,50,64,45,71,81,73,72,80,79,74,84,77,.,.,.,76,82,76,73,84,71,66,77,69,34,49,31,81,83,83,75,83,78,59,78,56,92,100,100
'227901172,58,59,59,67,60,70,-1,-1,-1,-1,-1,-1,69,72,71,62,63,68,62,64,64,69,69,75,65,66,68,.,.,.,57,58,58,69,75,68,52,56,56,45,49,47,83,91,80,72,73,73,63,68,66,78,80,90
'227901173,73,73,69,56,67,67,69,67,83,.,.,.,69,73,71,32,25,25,64,68,65,66,68,72,68,73,70,.,.,.,73,73,69,72,77,71,59,62,61,41,52,39,85,83,89,70,73,72,67,72,70,88,100,83
'227901174,70,83,70,.,.,.,100,-1,-1,.,.,.,71,78,74,68,69,75,70,77,73,72,78,76,70,78,73,.,.,.,70,83,70,69,77,71,69,77,72,44,52,42,-1,-1,-1,72,79,75,63,70,63,83,-1,-1
