CAMPUS,CD000A001S19R,CD000AM01S19R,CD000AR01S19R,CD200A001S19R,CD200AM01S19R,CD200AR01S19R,CD300A001S19R,CD300AM01S19R,CD300AR01S19R,CD400A001S19R,CD400AM01S19R,CD400AR01S19R,CDA00A001S19R,CDA00AM01S19R,CDA00AR01S19R,CDB00A001S19R,CDB00AM01S19R,CDB00AR01S19R,CDE00A001S19R,CDE00AM01S19R,CDE00AR01S19R,CDF00A001S19R,CDF00AM01S19R,CDF00AR01S19R,CDH00A001S19R,CDH00AM01S19R,CDH00AR01S19R,CDI00A001S19R,CDI00AM01S19R,CDI00AR01S19R,CDL00A001S19R,CDL00AM01S19R,CDL00AR01S19R,CDM00A001S19R,CDM00AM01S19R,CDM00AR01S19R,CDR00A001S19R,CDR00AM01S19R,CDR00AR01S19R,CDS00A001S19R,CDS00AM01S19R,CDS00AR01S19R,CDW00A001S19R,CDW00AM01S19R,CDW00AR01S19R,CNC00A001S19R,CNC00AM01S19R,CNC00AR01S19R,CNM00A001S19R,CNM00AM01S19R,CNM00AR01S19R,CNS00A001S19R,CNS00AM01S19R,CNS00AR01S19R
'227806025,47,-1,43,.,.,.,.,.,.,.,.,.,27,30,18,19,20,7,30,33,20,32,33,20,39,40,38,.,.,.,47,-1,43,22,-1,17,27,30,18,-1,-1,-1,.,.,.,28,-1,18,26,29,18,.,.,.
'227806029,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806030,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806031,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,92,95,95,88,-1,-1,-1,-1,-1,92,95,95,93,100,83,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,94,90,100,87,-1,-1,94,94,94,.,.,.
'227806032,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806034,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806037,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806040,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.
'227806041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806043,.,.,.,.,.,.,.,.,.,.,.,.,55,17,56,.,.,.,-1,-1,-1,43,-1,-1,57,-1,-1,.,.,.,.,.,.,62,-1,50,55,17,56,50,-1,60,54,-1,43,.,.,.,55,17,56,.,.,.
